"lsoa11cd","lsoa11nm","st_areasha","st_lengths","IMD_Rank","IMD_Decile","IMDScore","IMDRank0","IMDDec0","IncScore","IncRank","IncDec","EmpScore","EmpRank","EmpDec","EduScore","EduRank","EduDec","HDDScore","HDDRank","HDDDec","CriScore","CriRank","CriDec","BHSScore","BHSRank","BHSDec","EnvScore","EnvRank","EnvDec","IDCScore","IDCRank","IDCDec","IDOScore","IDORank","IDODec","CYPScore","CYPRank","CYPDec","ASScore","ASRank","ASDec","GBScore","GBRank","GBDec","WBScore","WBRank","WBDec","IndScore","IndRank","IndDec","OutScore","OutRank","OutDec","TotPop","DepChi","Pop16_59","Pop60.","WorkPop"
"E01004267","Tower Hamlets 012D",211304.4148055,2493.75246448193,6672,3,32.998,6672,3,0.24,4497,2,0.121,9591,3,8.844,23029,8,0.107,14406,5,1.19,2294,1,28.817,7793,3,45.232,2838,1,0.391,1636,1,0.482,780,1,-0.408,22615,7,0.249,21838,7,-1.267,31347,10,4.027,2414,1,0.468,9641,3,1.907,566,1,2322,427,1746,149,1723
"E01004268","Tower Hamlets 012E",51140.9206705,912.707395654736,6121,2,34.358,6121,2,0.258,3680,2,0.152,6345,2,24.416,11128,4,0.712,6762,3,-0.217,19864,7,33.217,4980,2,26.525,10850,4,0.292,4770,2,0.51,581,1,-0.365,21928,7,0.421,5496,2,-0.642,26119,8,4.338,1892,1,-0.666,25950,8,1.624,1235,1,1963,431,1370,162,1352.75
"E01004269","Tower Hamlets 014A",154487.1733035,2366.65202581292,6988,3,32.249,6988,3,0.222,5432,2,0.109,11190,4,15.032,17331,6,0.587,8093,3,1.084,2915,1,30.821,6404,2,34.293,6554,2,0.299,4396,2,0.404,1799,1,-0.609,25370,8,0.345,11183,4,-0.823,28220,9,4.131,2220,1,-0.743,26768,9,2.233,139,1,2471,560,1665,246,1658.75
"E01004270","Tower Hamlets 014B",291070.4077185,3436.54941595443,12534,4,22.295,12534,4,0.137,11744,4,0.055,22974,7,8.695,23195,8,-0.428,22482,7,1.291,1797,1,32.506,5375,2,35.617,5964,2,0.284,5106,2,0.424,1455,1,-0.293,20856,7,0.23,23993,8,-0.605,25583,8,4.213,2091,1,-0.392,22441,7,2.123,247,1,2789,418,2229,142,2200
"E01004271","Tower Hamlets 014C",97536.7811245,1835.63055551047,7538,3,31.028,7538,3,0.221,5467,2,0.107,11410,4,25.894,10370,4,0.451,9699,3,0.635,7261,3,30.467,6633,3,32.579,7422,3,0.261,6262,2,0.474,833,1,-0.669,26148,8,0.451,3954,2,-0.442,23159,8,3.778,2889,1,-0.208,19725,7,1.763,865,1,1710,506,1080,124,1044.75
"E01004272","Tower Hamlets 014D",92847.958668,1673.3962460729,5842,2,35.145,5842,2,0.274,3077,1,0.145,7014,3,32.437,7642,3,0.251,12321,4,0.567,8162,3,32.831,5177,2,20.603,14821,5,0.262,6222,2,0.625,162,1,-0.392,22358,7,0.488,2465,1,-1.284,31416,10,4.562,1572,1,-0.802,27353,9,1.222,2819,1,2500,764,1520,216,1465.25
"E01004273","Tower Hamlets 014E",170340.377955,3047.41877037276,5279,2,36.777,5279,2,0.281,2848,1,0.15,6542,2,31.377,8047,3,0.13,14032,5,0.853,4859,2,32.786,5208,2,24.867,11866,4,0.322,3512,2,0.546,375,1,-0.287,20765,7,0.475,2983,1,-1.082,30370,10,4.512,1648,1,-0.918,28345,9,1.601,1307,1,2419,577,1629,213,1590.75
"E01004274","Tower Hamlets 031A",83772.4784835,1845.877231095,11260,4,24.191,11260,4,0.225,5224,2,0.118,9916,4,20.038,13744,5,-0.194,19041,6,-0.431,22842,7,27.644,8721,3,15.033,19171,6,0.261,6306,2,0.551,355,1,-0.045,16811,6,0.349,10815,4,-1.971,32742,10,3.937,2587,1,-0.715,26458,9,0.671,6743,3,2142,496,1453,193,1452.75
"E01004275","Tower Hamlets 031B",136046.121254,1611.760579524,20159,7,13.794,20159,7,0.099,16440,6,0.06,21558,7,14.544,17728,6,-0.286,20434,7,-0.532,24221,8,24.978,11133,4,22.819,13248,5,0.134,15568,5,0.264,6229,2,0.223,12562,4,0.233,23632,8,-1.232,31180,10,3.401,3562,2,-0.002,16484,6,0.74,6136,2,2231,438,1591,202,1574.25
"E01004276","Tower Hamlets 031C",78956.768473,1500.5092367208,30144,10,5.371,30144,10,0.026,31509,10,0.014,32613,10,4.815,27528,9,-1.108,29654,10,-1.14,30108,10,23.165,13025,4,25.034,11759,4,0.085,21549,7,0.065,26180,8,-0.342,21605,7,0.071,32628,10,-0.703,26857,9,2.739,4984,2,0.153,14090,5,0.728,6244,2,2325,275,1922,128,1943
"E01004277","Tower Hamlets 033A",434310.762296,4405.36533637027,27157,9,7.917,27157,9,0.041,28405,9,0.043,27005,9,3.203,29500,9,-0.429,22494,7,-2.181,32748,10,32.221,5516,2,13.687,20412,7,0.075,23128,8,0.111,18533,6,-0.572,24877,8,0.065,32685,10,0.134,13372,5,2.978,4440,2,0.124,14520,5,-0.784,27226,9,1710,190,1412,108,1437
"E01004280","Tower Hamlets 032A",135744.0481705,2750.1528372724,10692,4,25.118,10692,4,0.226,5195,2,0.116,10218,4,18.608,14697,5,-0.028,16434,6,-0.493,23682,8,27.303,8990,3,24.375,12182,4,0.313,3851,2,0.477,817,1,0.437,9586,3,0.252,21489,7,-0.926,29211,9,3.696,3048,1,-0.391,22428,7,1.285,2505,1,1950,438,1353,159,1341.25
"E01004281","Tower Hamlets 031D",124137.1282765,2160.59015245739,26798,9,8.22,26798,9,0.06,23652,8,0.032,30174,10,1.874,31029,10,-0.432,22536,7,-0.506,23879,8,24.493,11637,4,23.234,12962,4,0.105,18878,6,0.168,12452,4,-0.947,28936,9,0.123,31606,10,-0.958,29484,9,3.196,3970,2,0.101,14887,5,0.628,7154,3,1899,297,1518,84,1534
"E01004283","Tower Hamlets 016A",152037.0077515,1891.18760518394,8223,3,29.565,8223,3,0.237,4683,2,0.111,10881,4,21.326,12953,4,0.253,12293,4,0.187,13726,5,29.92,7025,3,35.067,6214,2,0.298,4489,2,0.394,2002,1,-0.717,26714,9,0.413,5956,2,-0.917,29118,9,4.061,2349,1,-0.215,19848,7,1.943,495,1,2607,543,1710,354,1669.5
"E01004284","Tower Hamlets 019A",191962.58296,2456.42239225457,7366,3,31.368,7366,3,0.265,3396,2,0.13,8516,3,13.473,18617,6,0.402,10296,4,0.297,11967,4,33.013,5067,2,25.179,11665,4,0.335,3079,1,0.646,122,1,-0.197,19343,6,0.292,16923,6,-1.667,32426,10,4.626,1480,1,-0.579,24896,8,1.473,1723,1,3602,883,2492,227,2477.5
"E01004285","Tower Hamlets 019B",123839.530318,1970.74913033609,4342,2,39.744,4342,2,0.276,3001,1,0.152,6403,2,39.002,5637,2,0.589,8068,3,0.512,8919,3,38.3,2737,1,28.273,9799,3,0.272,5763,2,0.587,248,1,-0.541,24492,8,0.535,1066,1,-1.688,32459,10,5.224,775,1,-0.615,25359,8,1.724,957,1,2206,608,1424,174,1396
"E01004286","Tower Hamlets 019C",156307.7229095,2505.38387457049,5381,2,36.494,5381,2,0.246,4228,2,0.163,5487,2,22.471,12259,4,0.392,10443,4,0.81,5300,2,26.994,9285,3,42.275,3597,2,0.252,6766,3,0.443,1176,1,-0.45,23205,8,0.41,6209,2,-1.185,30956,10,3.75,2944,1,0.326,11527,4,1.877,609,1,2557,608,1676,273,1665.25
"E01004287","Tower Hamlets 016B",85310.642558,1329.52279815755,8047,3,29.947,8047,3,0.24,4514,2,0.12,9711,3,19.707,13937,5,0.315,11422,4,0.167,14048,5,28.426,8092,3,34.912,6285,2,0.244,7264,3,0.554,340,1,-0.156,18701,6,0.358,10000,4,-1.043,30107,10,3.912,2632,1,-0.267,20631,7,1.98,445,1,2321,536,1456,329,1478.5
"E01004288","Tower Hamlets 019D",101913.4471825,1904.22812507486,4874,2,37.996,4874,2,0.262,3503,2,0.161,5647,2,30.768,8278,3,0.79,5989,2,0.513,8905,3,29.377,7391,3,32.368,7541,3,0.232,7921,3,0.462,957,1,-0.558,24710,8,0.484,2604,1,-1.532,32177,10,4.138,2210,1,-0.597,25129,8,2.014,398,1,1747,460,1103,184,1060.5
"E01004289","Tower Hamlets 016C",105527.7257365,2033.68996918314,6032,2,34.596,6032,2,0.212,5970,2,0.136,7920,3,15.779,16770,6,0.959,4547,2,0.867,4731,2,28.268,8209,3,39.329,4489,2,0.249,6930,3,0.468,888,1,-0.807,27698,9,0.363,9552,3,-1.432,31944,10,3.985,2498,1,-0.078,17685,6,2.135,235,1,2076,383,1452,241,1415.5
"E01004290","Tower Hamlets 016D",99611.14224,2163.18150973798,8732,3,28.558,8732,3,0.196,6890,3,0.106,11618,4,12.545,19462,6,0.404,10279,4,0.809,5312,2,29.809,7099,3,34.799,6329,2,0.281,5275,2,0.338,3355,2,0.016,15815,5,0.243,22466,7,-1.205,31047,10,4.139,2204,1,-0.689,26216,8,2.259,125,1,1932,366,1342,224,1331
"E01004291","Tower Hamlets 027A",113169.51313,1936.4392514117,24676,8,9.872,24676,8,0.066,22315,7,0.04,27781,9,5.502,26714,9,-0.435,22578,7,-0.354,21806,7,23.963,12186,4,26.702,10745,4,0.127,16303,5,0.162,13015,4,-0.297,20906,7,0.118,31732,10,-1.84,32655,10,3.307,3736,2,0.025,16056,5,1.059,3735,2,1983,213,1509,261,1561
"E01004292","Tower Hamlets 026A",149879.275002,2204.94736466363,27385,9,7.73,27385,9,0.045,27476,9,0.024,31829,10,3.334,29342,9,-0.49,23286,8,0.033,16173,5,22.351,13903,5,23.48,12797,4,0.102,19208,6,0.145,14628,5,-0.562,24754,8,0.083,32472,10,-0.813,28114,9,2.687,5125,2,-0.734,26674,9,1.416,1916,1,1894,229,1483,182,1510.25
"E01004293","Tower Hamlets 027B",326564.116832,3568.64318954969,26059,8,8.793,26059,8,0.06,23841,8,0.039,28151,9,2.813,29964,10,-0.936,28275,9,-0.411,22581,7,21.991,14340,5,32.699,7355,3,0.104,18923,6,0.146,14518,5,-0.692,26412,9,0.112,31869,10,-1.132,30684,10,2.804,4828,2,-0.36,22006,7,1.883,599,1,2177,213,1626,338,1686
"E01004294","Tower Hamlets 026B",214574.1037105,2711.94987000245,15535,5,18.648,15535,5,0.146,10874,4,0.084,15509,5,6.7,25369,8,-0.169,18665,6,-0.666,25829,8,29.949,7003,3,32.095,7662,3,0.239,7541,3,0.32,3952,2,-0.386,22248,7,0.203,26835,9,-0.556,24880,8,3.824,2806,1,-0.055,17342,6,1.59,1344,1,1818,254,1405,159,1446
"E01004295","Tower Hamlets 026C",80172.213058,1183.27681615764,7506,3,31.081,7506,3,0.236,4735,2,0.115,10309,4,30.84,8243,3,-0.125,17974,6,0.62,7446,3,31.822,5763,2,31.168,8169,3,0.242,7379,3,0.477,807,1,-0.481,23648,8,0.481,2718,1,-0.458,23395,8,3.991,2491,1,-1.133,29915,10,2.117,257,1,1879,586,1130,163,1116
"E01004296","Tower Hamlets 026D",133960.059077,1766.02574116805,10142,4,26.077,10142,4,0.205,6389,2,0.113,10657,4,14.003,18162,6,-0.008,16141,5,0.534,8620,3,31.42,6014,2,22.962,13149,5,0.27,5874,2,0.441,1206,1,-0.201,19412,6,0.299,16083,5,-1.984,32753,10,4.454,1742,1,-0.658,25859,8,1.344,2238,1,2279,468,1593,218,1602.5
"E01004297","Tower Hamlets 027C",117907.703831,1952.03703106681,25393,8,9.299,25393,8,0.071,21277,7,0.041,27597,9,3.518,29108,9,-0.717,26099,8,-0.11,18281,6,21.026,15473,5,26.546,10839,4,0.129,16091,5,0.201,9911,4,-0.548,24572,8,0.099,32183,10,-1.996,32760,10,2.763,4931,2,0.064,15455,5,0.998,4148,2,1972,255,1504,213,1511.25
"E01004298","Tower Hamlets 022A",91360.7696475,1609.88794482329,3911,2,41.255,3911,2,0.281,2837,1,0.15,6585,3,22.931,11954,4,1.019,4096,2,0.949,3936,2,28.729,7874,3,42.885,3427,2,0.273,5670,2,0.727,42,1,-0.577,24933,8,0.421,5514,2,-1.802,32614,10,4.078,2326,1,0.092,15006,5,2.223,146,1,1708,355,1167,186,1164.75
"E01004300","Tower Hamlets 022B",49215.74026,1306.89179299317,5313,2,36.677,5313,2,0.27,3222,1,0.172,4838,2,22.754,12065,4,0.695,6932,3,0.442,9875,4,29.811,7096,3,26.331,10972,4,0.307,4101,2,0.44,1221,1,-0.513,24086,8,0.416,5815,2,-1.129,30663,10,4.121,2236,1,-1.036,29307,9,1.74,914,1,1541,382,952,207,938.5
"E01004301","Tower Hamlets 025B",83127.348444,1820.34768234823,5604,2,35.818,5604,2,0.268,3305,2,0.122,9389,3,17.606,15389,5,0.359,10874,4,1.173,2395,1,34.098,4523,2,33.159,7126,3,0.235,7801,3,0.763,21,1,-0.777,27371,9,0.38,8186,3,-0.876,28733,9,4.596,1528,1,-0.859,27854,9,2.186,180,1,1402,362,913,127,912.75
"E01004302","Tower Hamlets 025C",49116.887399,1536.49022683215,10599,4,25.269,10599,4,0.182,7909,3,0.096,13191,5,27.331,9681,3,-0.407,22204,7,-0.071,17707,6,36.844,3255,1,28.803,9511,3,0.217,8929,3,0.467,902,1,-0.125,18155,6,0.428,5103,2,-1.637,32377,10,5.035,941,1,-0.534,24323,8,1.716,975,1,2243,604,1515,124,1486.75
"E01004303","Tower Hamlets 025D",226054.5004705,3661.57469001202,11397,4,23.954,11397,4,0.194,7019,3,0.095,13440,5,8.672,23222,8,-0.177,18785,6,0.571,8128,3,30.574,6551,2,29.454,9122,3,0.304,4206,2,0.323,3841,2,-0.565,24798,8,0.263,20218,7,-0.948,29405,9,4.155,2170,1,-0.89,28110,9,1.917,541,1,2894,652,2001,241,1999.25
"E01004304","Tower Hamlets 022C",102477.4788535,1374.2659718633,4740,2,38.469,4740,2,0.271,3193,1,0.145,7053,3,24.368,11147,4,0.515,8929,3,0.937,4060,2,31.027,6256,2,40.973,3953,2,0.325,3435,2,0.527,480,1,-0.514,24097,8,0.43,4995,2,-1.611,32322,10,4.366,1847,1,-0.075,17647,6,2.28,109,1,2117,459,1437,221,1409.75
"E01004305","Tower Hamlets 022D",91858.681507,1747.28773299777,7611,3,30.888,7611,3,0.223,5329,2,0.12,9699,3,19.803,13881,5,0.128,14059,5,0.633,7293,3,31.299,6087,2,37.721,5094,2,0.288,4961,2,0.371,2535,1,-0.507,24000,8,0.387,7670,3,-1.77,32571,10,4.426,1777,1,-0.172,19178,6,2.106,270,1,2099,468,1360,271,1333.75
"E01004306","Tower Hamlets 015A",119511.53246,2119.89884750961,5304,2,36.699,5304,2,0.217,5671,2,0.13,8447,3,6.227,25923,8,0.628,7621,3,1.389,1393,1,30.649,6501,2,54.406,1254,1,0.234,7848,3,0.561,319,1,-0.719,26733,9,0.236,23289,8,-1.483,32076,10,4.306,1941,1,0.6,7941,3,2.689,6,1,1664,282,1198,184,1190
"E01004307","Tower Hamlets 015B",211749.5033335,2863.77959360195,19910,7,14.037,19910,7,0.056,24683,8,0.03,30545,10,11.276,20640,7,-0.636,25166,8,-0.435,22890,7,31.642,5883,2,49.918,1930,1,0.152,13860,5,0.314,4147,2,0.241,12292,4,0.097,32218,10,-1.101,30495,10,4.362,1856,1,0.514,8998,3,2.182,187,1,2869,198,2547,124,2602
"E01004308","Tower Hamlets 015C",83602.387867,1772.10392513898,8621,3,28.761,8621,3,0.223,5361,2,0.109,11198,4,13.694,18424,6,0.051,15209,5,0.895,4438,2,30.13,6872,3,30.48,8531,3,0.245,7175,3,0.53,464,1,-0.713,26666,9,0.337,11992,4,-1.089,30427,10,4.148,2183,1,-1.383,31125,10,2.113,265,1,1516,288,1044,184,1046
"E01004309","Tower Hamlets 015D",130242.580778,3049.63114590227,4749,2,38.451,4749,2,0.261,3549,2,0.17,4957,2,19.634,13995,5,0.813,5780,2,0.598,7779,3,32.346,5452,2,35.611,5965,2,0.318,3665,2,0.724,43,1,-0.337,21540,7,0.374,8710,3,-1.212,31087,10,4.488,1680,1,-0.756,26890,9,2.401,45,1,3314,528,2537,249,2500
"E01004310","Tower Hamlets 015E",91519.9868175,1635.56384899173,5125,2,37.267,5125,2,0.252,3936,2,0.15,6580,3,17.072,15761,5,0.701,6872,3,0.617,7483,3,33.299,4939,2,44.052,3140,1,0.333,3155,1,0.631,150,1,-0.189,19212,6,0.334,12345,4,-1.893,32694,10,4.676,1418,1,0.033,15921,5,2.643,11,1,1980,267,1531,182,1521.25
"E01004311","Tower Hamlets 006A",84500.4282525,1426.20786904887,4644,2,38.758,4644,2,0.257,3710,2,0.146,6926,3,13.487,18602,6,0.665,7236,3,1.658,657,1,27.841,8569,3,37.131,5332,2,0.355,2476,1,0.414,1613,1,-0.359,21846,7,0.309,14954,5,-1.388,31814,10,3.92,2621,1,-0.58,24906,8,2.533,23,1,1657,359,1097,201,1085.75
"E01004312","Tower Hamlets 009A",68948.631527,1739.84148750615,4384,2,39.603,4384,2,0.284,2758,1,0.145,7051,3,22.886,11977,4,0.744,6428,2,1.218,2141,1,29.672,7199,3,32.972,7218,3,0.343,2825,1,0.61,190,1,-0.573,24885,8,0.42,5549,2,-1.766,32563,10,4.196,2113,1,-0.642,25669,8,2.076,304,1,1551,285,1076,190,1067.75
"E01004313","Tower Hamlets 009B",81333.9007625,1853.37079058267,11032,4,24.564,11032,4,0.179,8127,3,0.085,15213,5,15.278,17146,6,0.012,15811,5,0.312,11763,4,31.823,5762,2,36.599,5538,2,0.257,6510,2,0.432,1327,1,-0.245,20133,7,0.32,13833,5,-2.256,32821,10,4.504,1663,1,-0.297,21101,7,2.128,242,1,2230,492,1578,160,1542.25
"E01004314","Tower Hamlets 006B",83315.7593335,1804.20687818781,13053,4,21.635,13053,4,0.114,14399,5,0.057,22359,7,2.712,30078,10,0.08,14822,5,1.405,1335,1,21.555,14837,5,44.536,3013,1,0.167,12564,4,0.299,4741,2,-0.834,27949,9,0.155,30388,10,-1.698,32476,10,2.843,4734,2,0.293,11966,4,2.088,290,1,1164,178,802,184,787.25
"E01004315","Tower Hamlets 006C",94072.707335,2057.59664362047,6850,3,32.576,6850,3,0.199,6721,3,0.107,11444,4,15.126,17271,6,0.445,9775,3,1.676,616,1,28.434,8085,3,34.287,6555,2,0.256,6562,2,0.516,550,1,0.078,14807,5,0.273,19074,6,-1.198,31020,10,3.962,2541,1,-0.797,27321,9,2.27,117,1,1744,228,1286,230,1304
"E01004316","Tower Hamlets 009C",34074.5494775,1180.91562858299,4542,2,39.089,4542,2,0.218,5647,2,0.13,8434,3,12.281,19687,6,0.59,8060,3,2.119,124,1,32.669,5286,2,46.213,2623,1,0.314,3828,2,0.476,822,1,-0.24,20064,7,0.281,18141,6,-1.677,32441,10,4.592,1537,1,0.176,13708,5,2.59,15,1,1137,195,829,113,836.5
"E01004317","Tower Hamlets 009D",274290.0895205,2670.66097753989,9244,3,27.603,9244,3,0.172,8610,3,0.09,14326,5,4.194,28293,9,0.374,10657,4,1.293,1789,1,31.478,5976,2,35.169,6157,2,0.343,2832,1,0.62,170,1,-0.574,24896,8,0.164,29930,10,-1.869,32678,10,4.456,1736,1,-0.574,24840,8,2.21,158,1,3633,504,2984,145,2976.5
"E01004318","Tower Hamlets 006D",57573.9618615,1555.91036196029,5572,2,35.903,5572,2,0.236,4712,2,0.163,5505,2,19.26,14216,5,0.609,7828,3,0.893,4456,2,28.408,8104,3,34.932,6275,2,0.316,3776,2,0.37,2560,1,-0.297,20916,7,0.367,9288,3,-2.231,32815,10,4.041,2387,1,-0.486,23737,8,2.138,233,1,1600,327,1131,142,1131.5
"E01004319","Tower Hamlets 021A",90902.692196,1997.21600317219,6845,3,32.582,6845,3,0.251,3962,2,0.122,9503,3,17.025,15797,5,0.207,12967,4,0.779,5645,2,32.759,5230,2,34.485,6475,2,0.243,7300,3,0.777,17,1,-1.026,29585,10,0.383,7964,3,-1.888,32692,10,4.607,1507,1,-0.872,27971,9,2.323,79,1,2099,488,1413,198,1400.75
"E01004321","Tower Hamlets 021C",105245.488495,2562.21206871912,6345,2,33.782,6345,2,0.264,3464,2,0.136,7867,3,13.022,19023,6,0.159,13628,5,0.867,4720,2,32.984,5090,2,34.102,6636,3,0.316,3780,2,0.652,112,1,-0.653,25955,8,0.327,13094,4,-1.629,32354,10,4.619,1489,1,-0.569,24779,8,2.121,249,1,1928,381,1342,205,1353.75
"E01004322","Tower Hamlets 017A",139931.2939075,2519.72655794205,6983,3,32.255,6983,3,0.192,7184,3,0.114,10461,4,11.588,20343,7,0.358,10885,4,1.521,989,1,30.651,6498,2,38.304,4883,2,0.209,9484,3,0.561,320,1,-0.548,24576,8,0.302,15735,5,-1.153,30804,10,4.249,2037,1,-0.446,23170,8,2.558,18,1,1346,242,977,127,982.75
"E01004323","Tower Hamlets 017B",70379.9911065,1319.77463916616,9137,3,27.821,9137,3,0.201,6631,3,0.095,13372,5,11.422,20496,7,0.844,5502,2,0.695,6565,2,29.256,7470,3,24.016,12408,4,0.238,7615,3,0.707,57,1,-0.933,28831,9,0.322,13586,5,-1.959,32734,10,4.144,2193,1,-0.899,28197,9,1.526,1531,1,1576,306,1145,125,1125.5
"E01004324","Tower Hamlets 017C",77386.650161,1551.51269228387,5052,2,37.489,5052,2,0.224,5287,2,0.128,8728,3,31.04,8163,3,1.239,2652,1,0.675,6782,3,32.236,5502,2,32.97,7219,3,0.19,10772,4,0.762,24,1,0.064,15014,5,0.442,4393,2,-1.453,32003,10,4.522,1640,1,-0.869,27950,9,2.178,191,1,1606,374,1114,118,1089.5
"E01004325","Tower Hamlets 021D",135439.074787,2187.85029028751,11050,4,24.528,11050,4,0.118,13938,5,0.044,26686,9,5.863,26309,9,-0.259,20009,7,0.748,5960,2,34.692,4226,2,76.669,23,1,0.268,5955,2,0.578,276,1,-0.299,20950,7,0.15,30673,10,-1.524,32161,10,4.802,1234,1,1.402,1452,1,2.412,43,1,3066,359,2551,156,2564.25
"E01004326","Tower Hamlets 017D",83845.9904575,1560.81534195857,10008,4,26.259,10008,4,0.162,9496,3,0.077,17038,6,11.803,20144,7,-0.1,17571,6,1.316,1686,1,30.032,6946,3,39.698,4359,2,0.211,9340,3,0.432,1327,1,-0.624,25580,8,0.31,14824,5,-1.977,32748,10,4.258,2021,1,-0.232,20112,7,2.354,63,1,1755,348,1247,160,1252.5
"E01032764","Tower Hamlets 004E",324746.0796525,4668.78382718681,12594,4,22.225,12594,4,0.122,13422,5,0.06,21514,7,6.505,25596,8,0.294,11712,4,0.817,5234,2,38.238,2752,1,30.682,8420,3,0.258,6465,2,0.425,1433,1,-0.263,20415,7,0.167,29740,10,-0.057,16676,6,4.331,1899,1,-0.492,23818,8,1.821,716,1,2066,269,1679,118,1695.25
"E01032765","Tower Hamlets 004F",81800.251169,2251.63654692581,8918,3,28.215,8918,3,0.209,6127,2,0.12,9640,3,20.301,13600,5,0.388,10509,4,0.091,15257,5,33.982,4582,2,22.205,13719,5,0.382,1809,1,0.394,1998,1,0.359,10633,4,0.293,16698,6,-0.567,25025,8,4.377,1836,1,-1.313,30844,10,1.493,1651,1,1801,285,1378,138,1374.25
"E01032766","Tower Hamlets 021E",79883.7406065,1339.86938349811,14542,5,19.785,14542,5,0.127,12899,4,0.045,26345,9,13.234,18841,6,-0.241,19731,7,0.32,11632,4,34.113,4517,2,41.577,3772,2,0.323,3484,2,0.42,1515,1,0.326,11067,4,0.162,30041,10,-1.596,32290,10,4.747,1313,1,0.09,15029,5,2.12,251,1,1534,226,1248,60,1268.75
"E01032767","Tower Hamlets 021F",133662.5432455,1812.73347144072,22328,7,11.859,22328,7,0.05,26253,8,0.018,32387,10,7.964,23989,8,-0.335,21197,7,-0.771,27013,9,27.524,8817,3,46.728,2504,1,0.299,4426,2,0.278,5599,2,-0.011,16279,5,0.06,32724,10,-1.213,31095,10,3.835,2778,1,0.681,6981,3,1.673,1083,1,2341,109,2163,69,2195.25
"E01032768","Tower Hamlets 025E",69880.2128385,1208.27473348374,21107,7,12.944,21107,7,0.025,31644,10,0.015,32573,10,1.094,31916,10,-0.382,21887,7,0.542,8510,3,33.227,4975,2,43.494,3296,2,0.086,21345,7,0.112,18362,6,-1.083,29986,10,0.067,32668,10,-0.041,16388,5,3.579,3232,1,0.368,10970,4,1.915,545,1,1586,184,1330,72,1370
"E01032769","Tower Hamlets 025F",103713.0994085,1863.65014928052,16124,5,17.995,16124,5,0.108,15268,5,0.044,26766,9,5.062,27217,9,-0.246,19811,7,1.053,3127,1,26.218,9968,4,36.588,5546,2,0.196,10329,4,0.337,3393,2,-0.391,22338,7,0.145,30884,10,-0.631,25959,8,3.247,3863,2,-0.428,22947,7,2.228,141,1,1450,249,1092,109,1130.5
"E01032770","Tower Hamlets 032B",43909.8500515,1487.54290013213,17320,6,16.648,17320,6,0.133,12243,4,0.058,22131,7,4.763,27591,9,0.118,14239,5,0.041,16021,5,30.24,6803,3,21.83,13962,5,0.21,9421,3,0.502,639,1,-0.415,22689,7,0.136,31222,10,-0.767,27609,9,4.025,2418,1,-0.258,20501,7,0.957,4448,2,1420,274,1047,99,1062
"E01032771","Tower Hamlets 033B",353148.227763,3562.20444516004,20860,7,13.182,20860,7,0.109,15080,5,0.055,23146,8,9.051,22803,7,-0.575,24384,8,-2.249,32770,10,33.139,5006,2,19.383,15752,5,0.208,9525,3,0.244,7234,3,0.001,16088,5,0.161,30083,10,-0.449,23249,8,4.145,2191,1,0.462,9706,3,-0.868,28189,9,1542,281,1202,59,1209
"E01032772","Tower Hamlets 032C",83042.8033945,1780.0405656382,11466,4,23.845,11466,4,0.161,9542,3,0.081,16023,5,6.559,25528,8,0.456,9637,3,0.397,10497,4,35.326,3924,2,30.05,8778,3,0.258,6478,2,0.592,233,1,-0.601,25255,8,0.23,23941,8,-1.009,29866,10,4.781,1264,1,-0.176,19249,6,1.55,1459,1,1644,184,1350,110,1331.5
"E01032773","Tower Hamlets 032D",33914.354901,1044.48942338831,19572,6,14.374,19572,6,0.112,14738,5,0.037,28681,9,7.106,24940,8,-0.543,23973,8,-1.071,29625,10,41.832,1702,1,21.087,14492,5,0.39,1658,1,0.249,6987,3,-0.161,18771,6,0.15,30655,10,-0.537,24616,8,5.274,734,1,0.039,15828,5,0.494,8477,3,3102,377,2627,98,2655.5
"E01032774","Tower Hamlets 032E",204297.1481035,2482.83039758371,7916,3,30.236,7916,3,0.189,7419,3,0.121,9525,3,27.345,9669,3,0.738,6497,2,-0.021,17007,6,36.445,3435,2,23.299,12927,4,0.229,8159,3,0.532,449,1,0.928,4317,2,0.254,21206,7,-0.452,23301,8,4.593,1532,1,0.081,15185,5,0.665,6806,3,1466,376,1012,78,1001
"E01032775","Tower Hamlets 031F",32986.4430755,1336.80765524626,25292,8,9.375,25292,8,0.046,27216,9,0.028,31102,10,13.129,18922,6,-0.206,19212,6,-0.965,28814,9,24.965,11148,4,26.259,11011,4,0.114,17761,6,0.137,15382,5,0.377,10398,4,0.097,32221,10,-1.048,30151,10,3.331,3701,2,0.163,13919,5,0.831,5395,2,1214,183,954,77,956.25
"E01032776","Tower Hamlets 028E",83533.200148,1613.40699309244,24799,8,9.775,24799,8,0.029,30953,10,0.013,32658,10,6.132,26033,8,-0.505,23493,8,-0.232,20097,7,31.813,5773,2,32.528,7451,3,0.111,18081,6,0.147,14430,5,-0.197,19351,6,0.086,32410,10,-0.658,26338,9,4.154,2172,1,-0.296,21087,7,1.821,714,1,1602,171,1393,38,1439.5
"E01032777","Tower Hamlets 028F",113109.826359,1895.65100169647,15657,5,18.527,15657,5,0.121,13510,5,0.07,18860,6,8.4,23529,8,0.035,15462,5,-0.704,26260,8,41.007,1926,1,21.429,14240,5,0.222,8599,3,0.236,7778,3,-0.087,17510,6,0.173,29299,9,0.319,10499,4,4.02,2435,1,-0.663,25917,8,1.223,2814,1,1586,244,1272,70,1268
