"lsoa11cd","lsoa11nm","st_areasha","st_lengths","IMD_Rank","IMD_Decile","IMDScore","IMDRank0","IMDDec0","IncScore","IncRank","IncDec","EmpScore","EmpRank","EmpDec","EduScore","EduRank","EduDec","HDDScore","HDDRank","HDDDec","CriScore","CriRank","CriDec","BHSScore","BHSRank","BHSDec","EnvScore","EnvRank","EnvDec","IDCScore","IDCRank","IDCDec","IDOScore","IDORank","IDODec","CYPScore","CYPRank","CYPDec","ASScore","ASRank","ASDec","GBScore","GBRank","GBDec","WBScore","WBRank","WBDec","IndScore","IndRank","IndDec","OutScore","OutRank","OutDec","TotPop","DepChi","Pop16_59","Pop60.","WorkPop"
"E01004222","Tower Hamlets 001A",137324.3116675,2347.69580440265,4966,2,37.724,4966,2,0.273,3106,1,0.166,5237,2,28.09,9363,3,0.675,7130,3,0.797,5456,2,28.088,8356,3,23.771,12586,4,0.321,3584,2,0.439,1229,1,0.017,15781,5,0.421,5508,2,-0.866,28642,9,3.781,2882,1,-0.83,27605,9,1.485,1681,1,2862,608,1819,435,1784.25
"E01004223","Tower Hamlets 001B",592007.530517,4327.70661251767,5705,2,35.516,5705,2,0.241,4442,2,0.144,7078,3,22.192,12417,4,0.524,8818,3,1.21,2182,1,26.053,10129,4,32.212,7611,3,0.298,4442,2,0.401,1838,1,0.03,15562,5,0.363,9623,3,-0.843,28409,9,3.404,3555,2,-0.542,24432,8,1.965,463,1,2321,488,1471,362,1474
"E01004224","Tower Hamlets 001C",435492.114549,4633.40075495195,7452,3,31.203,7452,3,0.203,6489,2,0.107,11423,4,19.274,14208,5,0.797,5938,2,0.993,3579,2,28.281,8201,3,29.203,9275,3,0.338,2970,1,0.394,1999,1,0.242,12286,4,0.301,15864,5,-0.907,29030,9,3.833,2784,1,-0.249,20373,7,1.551,1458,1,2307,390,1652,265,1628.75
"E01004225","Tower Hamlets 004A",128920.4836685,1704.43042158328,13671,5,20.839,13671,5,0.08,19542,6,0.039,28102,9,8.298,23642,8,-0.118,17872,6,-0.037,17255,6,33.652,4747,2,77.145,20,1,0.223,8537,3,0.227,8211,3,0.006,16000,5,0.092,32322,10,-0.096,17335,6,3.768,2911,1,1.679,643,1,1.732,937,1,2696,346,2233,117,2228.5
"E01004226","Tower Hamlets 001D",92347.560946,1630.50718333257,8684,3,28.641,8684,3,0.224,5264,2,0.115,10317,4,20.466,13495,5,0.049,15260,5,0.896,4425,2,28.751,7853,3,19.208,15882,5,0.322,3517,2,0.291,5060,2,-0.014,16338,5,0.35,10710,4,-0.948,29401,9,3.921,2617,1,-0.684,26150,8,1.046,3828,2,2227,574,1467,186,1474.75
"E01004228","Tower Hamlets 003A",124913.406785,2527.6719124061,12849,4,21.888,12849,4,0.128,12809,4,0.085,15277,5,12.526,19476,6,0.238,12539,4,0.945,3978,2,23.542,12614,4,27.091,10481,4,0.132,15817,5,0.299,4749,2,0.078,14810,5,0.23,24017,8,-1.149,30786,10,3.108,4150,2,-0.417,22784,7,1.516,1567,1,2120,317,1485,318,1510.5
"E01004229","Tower Hamlets 004C",106330.404505,1503.04264863222,10339,4,25.746,10339,4,0.183,7797,3,0.104,11854,4,12.646,19356,6,0.25,12328,4,0.54,8527,3,28.64,7940,3,31.979,7730,3,0.269,5896,2,0.332,3539,2,-0.521,24206,8,0.313,14536,5,-1.128,30661,10,3.973,2522,1,-0.417,22782,7,1.866,626,1,1617,309,1131,177,1132.75
"E01004230","Tower Hamlets 003B",158833.6285745,1771.99394788284,9165,3,27.77,9165,3,0.184,7710,3,0.104,11941,4,17.016,15802,5,0.302,11603,4,0.914,4262,2,27.135,9135,3,32.763,7317,3,0.246,7152,3,0.334,3485,2,0.069,14946,5,0.3,15968,5,-1.685,32456,10,3.851,2751,1,-0.306,21238,7,1.843,664,1,2225,426,1542,257,1535.5
"E01004231","Tower Hamlets 004D",109489.4761305,1430.17856640802,6874,3,32.526,6874,3,0.226,5201,2,0.131,8407,3,22.942,11943,4,0.333,11162,4,0.903,4352,2,30.216,6817,3,29.804,8927,3,0.253,6762,3,0.463,940,1,-0.135,18341,6,0.388,7594,3,-0.878,28745,9,4.085,2313,1,-0.993,29008,9,1.981,442,1,1889,469,1215,205,1213.25
"E01004232","Tower Hamlets 003C",190211.796137,2147.5275205748,13752,5,20.727,13752,5,0.097,16812,6,0.056,22641,7,5.217,27068,9,-0.46,22894,7,1.515,1013,1,24.139,12002,4,44.937,2915,1,0.153,13781,5,0.243,7286,3,-0.397,22441,7,0.156,30327,10,-0.916,29109,9,3.102,4165,2,0.193,13414,5,2.268,118,1,1791,295,1330,166,1323.25
"E01004233","Tower Hamlets 003D",84478.035382,1389.83713069424,7486,3,31.122,7486,3,0.261,3554,2,0.135,7976,3,25.405,10613,4,0.062,15051,5,0.394,10549,4,27.262,9022,3,25.069,11740,4,0.342,2841,1,0.476,820,1,-0.208,19524,6,0.418,5663,2,-0.691,26716,9,3.5,3381,2,-0.79,27238,9,1.571,1400,1,2085,449,1353,283,1355.5
"E01004234","Tower Hamlets 003E",576139.788554,4167.10153395057,11218,4,24.249,11218,4,0.112,14721,5,0.064,20450,7,2.713,30076,10,-0.349,21438,7,1.913,282,1,23.131,13070,4,52.187,1549,1,0.146,14386,5,0.208,9453,3,-0.903,28587,9,0.167,29708,10,-1.382,31794,10,3.098,4168,2,0.588,8075,3,2.246,134,1,2193,385,1554,254,1570.25
"E01004235","Tower Hamlets 008A",37828.729234,975.886534953278,6856,3,32.56,6856,3,0.262,3528,2,0.149,6629,3,29.427,8809,3,0.143,13829,5,0.134,14589,5,29.472,7320,3,24.476,12106,4,0.26,6352,2,0.523,510,1,0.277,11759,4,0.403,6601,3,-1.817,32636,10,4.169,2152,1,-1.243,30512,10,1.652,1151,1,1380,359,888,133,844
"E01004236","Tower Hamlets 008B",101059.943383,1777.80037644749,4668,2,38.698,4668,2,0.277,2973,1,0.152,6368,2,28.717,9095,3,0.511,8972,3,1.386,1403,1,29.123,7560,3,20.11,15197,5,0.275,5597,2,0.666,98,1,-0.378,22128,7,0.459,3611,2,-1.353,31687,10,4.087,2310,1,-1.215,30361,10,1.311,2391,1,1772,499,1134,139,1062.25
"E01004237","Tower Hamlets 008C",65255.2616135,1398.66885188121,8147,3,29.74,8147,3,0.228,5089,2,0.118,9919,4,13.649,18464,6,-0.017,16260,5,0.992,3591,2,26.729,9539,3,34.722,6363,2,0.306,4136,2,0.292,5015,2,-0.189,19215,6,0.293,16770,6,-1.215,31107,10,3.719,3006,1,-0.146,18772,6,1.851,649,1,1433,403,910,120,900.25
"E01004238","Tower Hamlets 008D",356239.0852995,3269.58073120356,7688,3,30.706,7688,3,0.228,5110,2,0.106,11594,4,14.362,17858,6,0.122,14156,5,0.95,3925,2,35.614,3797,2,31.775,7844,3,0.352,2545,1,0.629,154,1,-0.663,26086,8,0.342,11547,4,-1.212,31089,10,4.862,1158,1,0.175,13728,5,1.29,2484,1,4477,1020,3257,200,3229.5
"E01004239","Tower Hamlets 008E",108536.221657,1896.12816136816,3901,2,41.301,3901,2,0.272,3158,1,0.177,4526,2,29.317,8854,3,0.487,9244,3,1.426,1263,1,32.665,5291,2,23.548,12744,4,0.251,6856,3,0.466,907,1,-0.292,20850,7,0.459,3636,2,-0.943,29363,9,4.455,1741,1,-1.268,30637,10,1.592,1340,1,1670,421,1024,225,1003.25
"E01004240","Tower Hamlets 012A",83738.3486955,1488.78488255846,7203,3,31.696,7203,3,0.239,4558,2,0.131,8328,3,29.774,8671,3,0.114,14301,5,0.695,6563,2,30.289,6767,3,21.887,13922,5,0.252,6795,3,0.417,1562,1,-0.808,27712,9,0.487,2525,1,-1.051,30167,10,4.158,2169,1,-0.791,27263,9,1.321,2336,1,1894,530,1191,173,1159
"E01004241","Tower Hamlets 012B",118824.5115125,2172.29262461975,5227,2,36.941,5227,2,0.252,3915,2,0.165,5358,2,29.383,8830,3,0.608,7834,3,0.79,5526,2,29.158,7531,3,26.551,10835,4,0.221,8639,3,0.522,512,1,-0.387,22264,7,0.465,3361,2,-0.835,28335,9,3.92,2620,1,-0.943,28582,9,1.73,942,1,1801,543,1100,158,1076.5
"E01004242","Tower Hamlets 012C",201989.2573985,2203.70388196522,9768,3,26.689,9768,3,0.194,7030,3,0.103,11988,4,19.695,13945,5,0.129,14039,5,0.289,12110,4,35.089,4055,2,26.258,11014,4,0.261,6288,2,0.524,499,1,-0.388,22297,7,0.378,8359,3,-0.845,28436,9,4.699,1385,1,-0.116,18298,6,1.19,2990,1,4375,1135,3050,190,3031.25
"E01004243","Tower Hamlets 020A",114102.4905095,1695.99750348127,5485,2,36.13,5485,2,0.254,3864,2,0.143,7164,3,39.595,5465,2,-0.011,16176,5,0.669,6863,3,27.667,8704,3,41.013,3941,2,0.31,3994,2,0.449,1104,1,0.217,12629,4,0.493,2281,1,-1.814,32632,10,3.934,2591,1,0.114,14702,5,2.058,335,1,1697,498,1043,156,983.75
"E01004244","Tower Hamlets 020B",135177.5317535,1718.88490921301,3416,2,43.233,3416,2,0.286,2700,1,0.214,2550,1,34.048,7086,3,0.6,7921,3,0.966,3800,2,26.068,10118,4,29.933,8855,3,0.241,7465,3,0.523,507,1,0.191,13040,4,0.454,3827,2,-1.956,32732,10,3.708,3031,1,-0.455,23293,8,1.75,890,1,2185,564,1293,328,1278.75
"E01004245","Tower Hamlets 018A",213542.946232,2148.83293011296,2763,1,46.457,2763,1,0.318,1707,1,0.175,4641,2,37.599,6027,2,0.605,7873,3,0.949,3940,2,42.072,1645,1,30.679,8423,3,0.327,3352,2,0.456,1025,1,-0.566,24805,8,0.528,1239,1,-0.528,24484,8,5.298,716,1,-0.762,26969,9,1.963,468,1,1517,468,935,114,911
"E01004246","Tower Hamlets 018B",202995.8209,3555.97838069769,8057,3,29.919,8057,3,0.21,6099,2,0.095,13464,5,19.422,14134,5,0.042,15354,5,1.38,1427,1,31.663,5863,2,26.864,10644,4,0.307,4107,2,0.295,4895,2,0.009,15951,5,0.337,12057,4,-0.697,26793,9,4.163,2162,1,-0.322,21480,7,1.425,1879,1,2598,594,1770,234,1770.25
"E01004247","Tower Hamlets 020C",120534.6386575,1821.33669779852,3824,2,41.665,3824,2,0.298,2273,1,0.162,5571,2,33.214,7370,3,0.673,7141,3,0.908,4320,2,29.957,7001,3,34.27,6567,2,0.356,2442,1,0.581,269,1,-0.127,18203,6,0.477,2879,1,-0.732,27211,9,3.967,2531,1,-0.433,23013,8,2.056,338,1,2585,720,1653,212,1632.75
"E01004248","Tower Hamlets 018C",105767.3833945,2636.73916485813,3465,2,43.068,3465,2,0.304,2070,1,0.171,4939,2,51.439,2972,1,0.696,6920,3,0.309,11804,4,32.797,5195,2,28.219,9828,3,0.314,3836,2,0.484,766,1,0,16102,5,0.583,335,1,-0.491,23928,8,4.143,2195,1,-0.766,27009,9,1.792,804,1,1743,587,983,173,974.75
"E01004249","Tower Hamlets 018D",182552.263814,2939.57578253808,3447,2,43.123,3447,2,0.29,2524,1,0.186,3932,2,33.035,7430,3,0.317,11392,4,1.07,2995,1,37.173,3139,1,30.002,8810,3,0.325,3433,2,0.423,1459,1,-0.304,21025,7,0.488,2489,1,0.202,12226,4,3.71,3023,1,-0.98,28901,9,1.993,426,1,2247,616,1418,213,1422.75
"E01004250","Tower Hamlets 020D",100506.259413,1677.61343218653,4393,2,39.575,4393,2,0.292,2463,1,0.181,4240,2,37.876,5943,2,0.644,7452,3,0.514,8877,3,27.378,8932,3,21.203,14397,5,0.287,4983,2,0.491,711,1,0.109,14316,5,0.491,2358,1,-1.659,32407,10,3.88,2689,1,-0.583,24951,8,1.159,3170,1,2613,782,1581,250,1547
"E01004251","Tower Hamlets 023A",129040.531908,1756.72142353204,8675,3,28.656,8675,3,0.202,6552,2,0.104,11948,4,19.536,14063,5,0.314,11436,4,0.895,4437,2,30.288,6768,3,26.301,10990,4,0.222,8587,3,0.435,1291,1,-0.461,23364,8,0.382,8082,3,-1.688,32461,10,4.281,1988,1,-0.762,26970,9,1.649,1159,1,2324,604,1476,244,1461
"E01004252","Tower Hamlets 024A",160367.096681,3037.53595438152,5828,2,35.19,5828,2,0.276,3024,1,0.149,6664,3,12.836,19176,6,0.752,6353,2,0.615,7522,3,33.835,4657,2,21.976,13863,5,0.372,2032,1,0.595,227,1,-0.51,24055,8,0.314,14382,5,-0.606,25593,8,4.392,1815,1,-1.432,31306,10,1.493,1652,1,2969,721,2041,207,2052.25
"E01004253","Tower Hamlets 024B",151999.0056235,2446.20621866715,8904,3,28.245,8904,3,0.213,5944,2,0.114,10442,4,28.164,9331,3,0.06,15086,5,0.554,8336,3,28.675,7908,3,22.928,13180,5,0.258,6475,2,0.439,1236,1,-0.004,16173,5,0.424,5331,2,-1.166,30861,10,3.989,2494,1,-0.949,28644,9,1.46,1761,1,3171,871,2056,244,2068.75
"E01004254","Tower Hamlets 023B",166769.083078,2816.38005347338,15458,5,18.74,15458,5,0.107,15403,5,0.05,24774,8,5.047,27238,9,-0.594,24642,8,0.869,4697,2,25.669,10493,4,49.628,1972,1,0.285,5091,2,0.193,10462,4,-0.33,21427,7,0.097,32232,10,-0.651,26248,8,3.166,4024,2,0.777,5924,2,1.715,980,1,2760,354,2262,144,2279.75
