Site no,Location,Grid squaresX,Grid squaresY,Site Type,Jan-16,Feb-16,Mar-16,Apr-16,May-16,Jun-16,Jul-16,Aug-16,Sep-16,Oct-16,Nov-16,Dec-16
48,Ackroyd Drive,536767,181771,Roadside,62.2,43.3,44.6,54.8,47.7,54.4,48.3,51.6,61.7,74.3,69.2,68.1
49,Dod St/Burdett Rd,537026,181227,Roadside,47.8,41.7,54.6,44.8,missing,42.6,39.3,40.4,49.9,61.7,65.2,60.2
50,Rich Street,536937,180987,Roadside,58.1,58.7,61.8,56.8,missing,48.4,45.4,57.8,54.9,62.7,70.4,64.3
51,Watney Market,534938,181257,Background,48.6,49.2,48.6,missing,40.7,36.9,37.7,Missing,49.1,Missing,65.1,60.5
52,Wick Lane/Autumn St,537304,183619,Roadside,67.2,61.6,50.5,54,41.8,48.5,43.1,53.5,61.5,68.2,71.6,74.1
53,Fairfield Road/Tredegar Road ,537159,183415,Roadside,74.8,68.8,75,64.3,39.7,56.8,57.5,67,67.3,81.7,81.6,77.3
54,Bow Rd /Glebe Terrace,537525,182887,Roadside,Missing,Missing,Missing,missing,66.5,missing,Missing,Missing,Missing,Missing,91.2,87.4
55,TH Cemetery Park,536730,182363,Background,44.8,36.8,35.8,30.9,24,36.9,26.4,29.4,Missing,26.3,45.3,41.6
56,Bow Common Lane/St Paul's Way,537248,181820,Roadside,70.5,55.1,57.9,49.8,50.3,56.6,45.9,49.9,50.2,62.7,63.2,55.7
58,Dolphin Lane,537539,180688,Roadside,61.8,48.3,42.7,42.3,35.9,36.6,35.1,38.4,40.8,55.6,58.3,60.2
59,Westferry Road/Limehouse Link jnct,537100,180791,Roadside,61.7,58.7,Missing,missing,44.4,missing,Missing,Missing,48.6,61.2,66.7,67.9
60,"Cascades, Westferry Road",537115,180074,Roadside,68.3,56.3,52.2,52.4,41.6,48.6,50.9,52.7,62.2,76.4,74.6,68.9
61,Bow Rd/Alfred St,537056,182773,Roadside,72.2,65.5,47.6,52.5,35.8,44.9,43.3,Missing,Missing,61.5,69,72.9
62,Mast House Terrace,537348,178690,Roadside,42.6,43.7,43.3,41.6,31.6,34.7,33.7,40.3,46.1,56.5,62.8,67.5
63,Millwall Park,538259,178688,Background,54.2,38,37.2,33.1,25.6,27.8,25.1,30,35.7,41.7,49.7,56.2
64,Limeharbour,537953,179357,Roadside,58,56.2,52.5,57.3,39.8,42.2,47.1,50.8,48.3,65.5,71.3,63.8
65,Manchester Road/East Ferry Road,538033,178360,Roadside,48.6,36.2,43.6,42.5,missing,31.6,30,35.8,43.8,58,56.9,63.4
66,Millwall Park,538247,178689,Background,62.8,42.3,36.5,34,missing,26.7,26.5,29.9,34.2,28.4,51.8,60.9
67,Seyssel Street,538545,178767,Roadside,50.6,43.4,45.9,40.1,missing,35.1,31.3,37.9,41.3,51.9,53.4,57.3
68,Manchester Road/Ollife Street ,538432,179044,Roadside,47.2,45.8,50.7,32.9,31,31.8,30.1,40.8,44.7,56.3,59.1,58.2
69,Lawnhouse Close ,538191,179750,Roadside,64.2,56.6,53,45.2,41,41.7,37.8,47.5,45.4,61.6,70.8,68.3
72,Prestons Road/ Coldharbour,538364,180188,Roadside,54.3,54.5,58.7,44.2,missing,46.8,40.6,52.1,56.3,Missing,Missing,44.2
73,John Smith Mews,538742,180756,Roadside,58.5,52.1,47.4,40.7,40.4,39.2,36.5,39.3,45.7,58.9,65.7,62.4
75,Hale Street,537661,180768,Roadside,Missing,Missing,40.3,36.3,32.1,18,31.6,38.9,47.3,55.2,65.9,69.1
76,Chrisp Street/E India Dock Road ,537940,181021,Roadside,61.1,71.4,62.6,63.9,32.1,missing,Missing,Missing,65.4,Missing,Missing,81.5
77,Morris/Barchester Street,537731,181761,Roadside,49,57.2,51.2,47.6,36.4,37.6,38.6,45.4,47.2,58.6,67.6,67.8
78,Devons Road / Campbell Road ,537577,182232,Roadside,69.5,58,62.1,59.8,52.8,51.8,50,56.2,54,77.2,73.8,77
79,Hatfield Terrace/Fairfield Road,537356,183059,Roadside,30.5,43,44.6,42.6,29,31.4,27.3,39.4,36.9,57.1,Missing,56.5
80,Wrexham Road,537581,183208,Roadside,52.9,55.7,57.5,54.6,39.8,35.5,35.4,55.9,43.6,88.6,66,57
81,Bromley High Street/ St Leonards,537868,182912,Roadside,53.9,47.4,47.6,49.1,missing,36.6,32.7,45.2,44,79.4,59.4,67.6
82,Devas Street /Devons road,537821,182332,Roadside,70.5,70.6,51.4,65.1,missing,43.7,47.2,55.1,64.7,82.6,84.4,80.4
83,Zetland Street/A12,538178,181747,Roadside,85.8,72.3,80.2,72.7,62.8,75.4,68.5,84.8,90.9,115.2,88,83.6
84,Blair Street (End of Street),538366,181180,Roadside,87,71.7,58.2,55.6,56.7,58.9,57.8,58.1,56.8,63.3,60.8,Missing
85,Portree Street,538895,181296,Roadside,66.9,68.6,65.5,56.8,41.8,51.6,49,52.8,60.4,80.8,75.3,72.9
86,Newport Avenue,538955,180872,Roadside,47.1,47.7,43.6,35.8,38.2,31.5,32.8,38,41.9,60.5,58.5,58.9
89,Thames Path Storers Quay,538730,178733,Background,44.7,39.7,41.3,35.8,33.4,27.2,26.7,32.7,35.6,53.4,58.7,48
90,Sextant Avenue,538674,178887,Roadside,36.3,38.6,38,30.4,missing,22.9,22,29.1,30.9,46.9,48.4,49.3
