Site no,Location,Grid squaresX,Grid squaresY,Site Type,Jan-16,Feb-16,Mar-16,Apr-16,May-16,Jun-16,Jul-16,Aug-16,Sep-16,Oct-16,Nov-16,Dec-16
1,Colombia Rd/Gossett Street,533883,182815,Roadside,66.4,55,48.1,47.8,35.5,45.9,39.9,42.6,48.8,56.8,Missing,Missing
2,Calvert Ave/Boundary Street,533507,182569,Roadside,63,Missing,70,39.6,47.8,47.5,46.2,45.6,Missing,54,60.7,57.8
3,Bethnal Green Rd/ Brick Lane,533860,182442,Roadside,72.6,65.7,52.4,46.6,56.2,58.6,51.4,50.6,58.6,56.4,67.6,73
4,Commercial St/Calvin St,533583,182066,Roadside,78.5,69.7,89.4,75.8,missing,69.1,69.9,38.2,87.6,99.2,94.2,86.2
5,Whitechapel High St (KFC),533985,181426,Roadside,79.3,Missing,Missing,86.6,80.8,85.4,80.4,82.7,30.9,97.5,106.4,95.3
6,Mansell St,533801,180726,Roadside,Missing,88.7,105.8,99,missing,91.1,108.9,86,Missing,66.3,90.8,Missing
7,St Katherine's Way,533984,180373,Background,48.5,44.4,40.7,39.4,40.4,33.6,Missing,32.2,44.3,43.7,56.4,56.5
8,Wapping High St/Sampson St,534444,180122,Roadside,59.5,49.2,35.1,40.8,37.8,34.8,Missing,Missing,38.5,52.3,59.7,62.2
11,Brick Lane/Princelet St,533866,181860,Roadside,67.5,54,Missing,48.2,missing,45.2,43.6,77.2,57.3,56.7,Missing,67
12,Buckfast St/Bethnal Green Rd,534259,182580,Roadside,62.7,62.7,48.2,48.2,44.7,43.1,47.9,46.5,51.3,59.8,70.1,65.7
14,Warner Place/Hackney Rd,534255,183130,Roadside,68.6,58.1,54,49.2,44.3,40.4,39,44.4,53.8,49.3,67.6,72.6
16,Paradise Row/Bethnal Green Rd,534959,182757,Roadside,Missing,65.5,59.4,51.3,45.2,50.5,43.6,46.5,56,64.2,70,77.4
17,Finnis St/Three Colts Lane,534783,182385,Roadside,54.2,53.3,44.1,41.6,34.2,34.9,35.9,37.9,39.1,52.1,60,60.4
18,Sidney St/Mile End Rd,534968,181878,Roadside,72.2,66.8,52.2,56.2,missing,49.6,Missing,Missing,Missing,67.4,72.8,75.7
19,Philpot St/Commercial Road,534816,181321,Roadside,70.8,63.6,58.2,56.1,60.7,57.5,61.3,60.5,73.1,67.5,86.3,89.5
20,Dellow St/The Highway,534951,180779,Roadside,93.3,78.8,63.9,69.6,87,68.9,71.8,65.9,81.4,67.2,82.6,73.3
22,Wapping Wall/Garnet St,535132,180337,Roadside,57.6,broken,48.1,36.2,40.1,34.4,36.6,37.9,46.1,61.2,61.9,62.3
23,Brodlove Lane,535598,180816,Roadside,66.8,59.4,50.7,50,54.4,57.2,61.8,53,60.1,56,66.1,69
24,Jubilee Street/Commercial Rd,535150,181279,Roadside,Missing,91.9,73.6,missing,64.5,78.9,82.2,72.1,80.1,96.2,109.5,89.7
25,Cavell St/Stepney Way,534884,181667,Roadside,71.2,70.4,60.1,56.3,46.4,48.7,48.4,51.3,57.2,63.3,59.3,73.6
26,Hannibal Rd/Mile End Rd,535392,182010,Roadside,Missing,60.7,58.7,58.3,74.7,58,59.8,57.1,Missing,Missing,81.1,76.3
28,Bonner Road,535356,183223,Roadside,56.6,54.4,49,66.2,missing,48.7,41.7,45,49.6,54.8,64.2,57.3
29,Grove Rd/Old Ford Rd,535930,183385,Roadside,64.5,66.4,61.8,56.9,44.1,50.5,58.2,52.7,72.3,69.1,77.1,71
30,Fieldgate Street,534232,181584,Roadside,Missing,Missing,Missing,missing,62.7,45.4,50.2,54.5,Missing,61.7,66.3,73.5
31,Whitechapel Market,534516,181744,Roadside,96.3,89.6,75.9,81.2,72.7,81.7,80.4,Missing,89.4,97.5,103.9,107.5
32,Globe Rd/Mile End Rd,535295,182820,Roadside,86.2,65.7,68.8,60.2,65.5,61.4,64.2,58.4,Missing,80.2,78.6,83
33,Stepney Green,535545,181604,Background,60.2,50.5,43.8,39,29.4,33.5,31.7,32.4,44.3,50,64.3,Missing
36,Locksley St/St Paul's Way,536702,181646,Roadside,46.9,57.1,52.3,51.8,33.2,38.2,37.4,44.5,41.6,63,60.4,67
37,Rhodeswell Rd,536574,181338,Roadside,55.6,53.6,53.5,48.7,32.7,40.6,37.5,43.3,47.4,63.7,68.8,63.7
38,Ben Johnson Road,536080,181721,Roadside,67.9,59.4,55.8,55.9,40.8,44.2,47.6,51.1,57.8,69.4,76.1,74
39,Harford St/Mile End Rd,536089,182258,Roadside,64.9,Missing,58.7,52.2,41,43.5,45.4,48.5,Missing,Missing,67.7,57
41,Ford Close/Roman Rd,536457,183301,Roadside,63.8,Missing,Missing,missing,41.6,missing,Missing,48.9,Missing,Missing,72.8,65
42,Victoria Park,536494,184170,Background,Missing,34.5,Missing,missing,19.2,missing,Missing,Missing,30.7,39.9,45.4,48.1
43,Victoria Park,536494,184170,Background,Missing,Missing,34,missing,21.5,missing,Missing,Missing,31.6,40.3,50.2,49.7
44,Parnell Rd/Old Ford Rd,536874,183741,Roadside,52.5,56.4,57.4,44.3,35.6,45.8,44.3,46.2,58.4,60.9,72,70.2
45,St Stephen's Rd/Tredegar Rd,536713,183070,Roadside,73.8,68.8,64.2,65.8,31.8,49.2,47,Missing,52,66.5,78.5,70.7
46,Rhondda Grove/Mile End Rd,536542,182589,Roadside,58.2,47.9,50.3,44.2,missing,43.6,37.5,48.2,55.4,55.9,67.6,72
47,Wentworth Mews,536452,182454,Roadside,73.9,66.6,77.6,61.8,41.3,54.7,45.8,65.8,63.1,86.5,74.1,78.7
