Site no,Location,Grid squaresX,Grid squaresY,Site Type,Jan-21,Feb-21,Mar-21,Apr-21,May-21,Jun-21,Jul-21,Aug-21,Sep-21,Oct-21,Nov-21,Dec-21
44,Parnell Rd/Old Ford Rd,536875,183740,Kerbside,46.6,34.8,41.6,31,31.3,28.6,30.4,27.1,36.5,39.6,44.5,36.9
45,St Stephen's Rd/Tredegar Rd,536713,183070,Kerbside,36.6,41.9,39.9,39.7,34.6,30.1,31,24.8,41.9,42.3,46.9,41.9
46,Rhondda Grove/Mile End Rd,536542,182589,Kerbside,38,missing,36.2,missing,28.9,22.7,27,17.5,35,36.3,31.5,36.4
47,Wentworth Mews,536452,182454,Kerbside,48.3,45.7,47.5,41.9,35.4,30.3,36.6,32.3,49.4,43.1,45.4,42.2
48,Ackroyd Drive,536768,181772,Kerbside,48.7,36.4,38.9,30.9,36.2,30.8,32.8,25.5,45.1,44.3,49.1,43.6
49,Dod St/Burdett Rd,537049,181292,Kerbside,40.6,35.4,31.2,29.3,28.2,19.7,24.9,14.1,30.7,missing ,missing,missing
50,Rich Street,536937,180987,Roadside,46.6,36.5,39.5,38.8,39.1,25.7,33.3,29.1,41.1,37.2,46.6,39.7
51,Watney Market,534938,181257,Roadside,missing,29.6,16.5,missing,missing,21.9,22.9,20.1,32.5,30.8,37.4,missing
52,Wick Lane/Autumn St,537304,183619,Kerbside,48,44.2,40.7,38.8,36.2,27.7,33.3,24.9,44.5,43.2,39.9,40.2
53,Fairfield Road/Tredegar Road ,537159,183415,Kerbside,54.7,47.1,48,48.9,47.1,38.4,37.2,36.7,54.9,39.9,43.8,48.2
54,Bow Rd /Glebe Terrace,537525,182887,Kerbside,48.5,47,42.7,51.9,55.8,37.5,50,33.8,63,53.4,53.2,52.8
55,TH Cemetery Park,536732,182361,Roadside,31.2,25.5,24.5,21.1,17.1,15,13.2,13.1,22.3,22.5,27.9,25
