Site no,Location,Grid squaresX,Grid squaresY,Site Type,Jan-18,Feb-18,Mar-18,Apr-18,May-18,Jun-18,Jul-18,Aug-18,Sep-18,Oct-18,Nov-18,Dec-18
1,Colombia Rd/Gossett Street,533883,182815,Kerbside,44.1,48.3,50.2,44,30.9,Missing,43.8,39,43.5,51.7,48.4,52.6
2,Calvert Ave/Boundary Street,533507,182569,Kerbside,49.8,54.1,49,49.7,44.2,31,46,44.1,49.1,53.8,57,58.8
3,Bethnal Green Rd/ Brick Lane,533860,182442,Kerbside,Missing,51.3,54,50,46,31.5,47.4,43.3,48.5,49.9,38.4,55.5
4,Commercial St/Calvin St,533611,182037,Kerbside,66.2,77,65.1,70.4,80.6,77.9,Missing,57.7,57.9,70.1,76.9,69.1
5,Whitechapel High St (KFC),533985,181426,Kerbside,75.4,77.8,Missing,78.2,88.5,75,87.2,81.8,86.9,87.7,73.5,73.2
6,Mansell St,533800,181021,Kerbside,63.6,58.4,No record,65.2,Missing,48.8,71.2,63.9,74,71.9,70.2,65.6
7,St Katherine's Way,533992,180376,Roadside,59.6,Missing,39.3,33.8,33.9,21.7,33.1,30.4,37.6,Missing,41.3,Missing
8,Wapping High St/Sampson St,534444,180122,Kerbside,47.3,42.5,48.4,40,35.4,26.9,37.5,33.5,39.3,48.2,47.4,41.6
9,Cartwright Street,533955,180805,Kerbside,Missing,50.6,49.7,40.2,42.2,31.1,40.6,39.5,Missing,48.4,40.9,55.2
10,Whitechapel Rd/Adler St,534133,181509,Kerbside,Missing,58.7,Missng,59.3,Missing,Missing,64.1,52,59.1,61.5,73.8,56.4
11,Brick Lane/Princelet St,533866,181860,Kerbside,54.3,47,52.6,48.8,43.2,30.8,42.3,37.6,45.5,50.7,52.2,53
12,Buckfast St/Bethnal Green Rd,534259,182580,Kerbside,54.9,53.9,56,46.9,37.9,36.9,43.4,38.2,44.8,48.5,49.2,43
13,Squirries St/Gosset St,534313,182810,Kerbside,Missing,48.1,53,43.7,52.5,43.3,55.9,45.1,50.3,54,57.1,52.1
14,Warner Place/Hackney Rd,534255,183130,Kerbside,57.9,53.9,56.4,47.6,47,35.7,46.2,42.8,50.8,47.3,54.5,58.9
15,Parmiter St/ Cambridge Heath Road,534881,183240,Kerbside,Missing,65,68.9,50.8,Missing,40.7,62.3,51.9,56.8,66.7,61,64.6
16,Paradise Row/Bethnal Green Rd,534959,182757,Kerbside,60.6,57.7,62.7,60.7,56.7,43.2,53.5,45,44.1,49.9,57.6,58.5
17,Finnis St/Three Colts Lane,534783,182385,Kerbside,47.7,42,49.3,39.1,38.5,25.6,36.2,33.9,39.5,44.4,24.5,44.8
18,Sidney St/Mile End Rd,534968,181878,Roadside,61,54.6,58.8,48.4,47.4,41.9,51.8,49.1,53.1,62.3,57.8,52
19,Philpot St/Commercial Road,534816,181321,Kerbside,65.9,58.7,60.7,57.9,48,39.7,61.4,52,57.9,62.4,67.6,66.7
20,Dellow St/The Highway,534951,180779,Roadside,78,65,71.6,68.2,66,55.7,77.5,63,68.3,66.5,73.3,73
21,Queensbridge Rd/Hackney Rd,533985,183122,Kerbside,Missing,Missing,45.3,47.2,204.8,58.2,136.3,37.4,43.6,47.9,50,58.9
22,Wapping Wall/Garnet St,535133,180376,Kerbside,45.2,50.9,47.6,41,39.8,34.5,40.7,33.7,39.8,48.9,47.2,42.8
23,Brodlove Lane,535598,180816,Kerbside,62.3,54.7,60.5,52.7,51.1,43.4,65.7,53.9,63.3,54.9,57.9,59
24,Jubilee Street/Commercial Rd,535174,181290,Kerbside,Missing,73.2,85.3,66,243.8,21.6,80.1,64.8,70.3,77.7,66.6,73.3
25,Cavell St/Stepney Way,534884,181667,Kerbside,66.4,55.3,49.5,46.6,47.6,36.3,51.7,50.6,57.2,58.3,57,61.1
26,Hannibal Rd/Mile End Rd,535386,182021,Kerbside,66.4,59.9,57.1,48.1,52.3,43.7,62.4,56.4,67.2,58,55.4,63.3
27,Roman Rd/Globe Road,535296,182793,Kerbside,Missing,54.1,58.6,48.7,37.7,44.8,44.8,40.1,38.7,48.9,55.7,52
28,Bonner Road,535356,183223,Kerbside,53.4,48.7,50.6,44.4,48.9,34.6,47.4,44.1,51.2,53.2,52,60.9
29,Grove Rd/Old Ford Rd,535930,183385,Kerbside,58.4,55.2,66.5,50.4,56,42.1,58.4,48.3,55.5,60.5,69,51.2
30,Fieldgate Street,534239,181565,Kerbside,55.1,61.1,71.3,80.3,60.9,59.9,57.3,47.6,48.7,58.4,69.6,51.2
31,Whitechapel Market,534516,181744,Roadside,93.4,68,84.1,57.1,90.5,70.9,101.7,84.1,92.8,77.3,83.8,88.2
32,Globe Rd/Mile End Rd,535634,182148,Kerbside,71,63.9,49.2,62.2,67,58.2,71.7,59.3,66.7,66.3,64.2,60.3
33,Stepney Green,535545,181604,Urban background,93.3,40.7,41.4,31.9,105.2,Missing,33.4,30.5,38.6,44.5,51.1,52.6
34,Pitsea St/Commercial Rd,535797,181164,Kerbside,Missing,49.3,63.2,36.9,52.5,42.5,50.5,41.1,49.2,50.6,53.5,51.1
35,Narrow St/Limehouse Link,535977,180879,Roadside,Missing,Missing,129.7,134.4,91.5,118,115.8,102.3,104.2,118,106,108.3
36,Locksley St/St Paul's Way,536704,181647,Kerbside,49.2,52.3,55,47.2,43.6,40.3,40.9,34.1,43,48.5,50.8,51.4
37,Rhodeswell Rd,536577,181379,Kerbside,49.7,51.3,53.6,45.1,45.3,37.9,42.2,38.3,38,44,45.3,47.3
38,Ben Johnson Road,536080,181721,Kerbside,50.1,46.9,27.3,48.8,49.8,41.2,45.6,42.6,49.7,50.4,53.5,60.2
39,Harford St/Mile End Rd,536089,182258,Roadside,59.8,56.4,64.7,53.4,58.7,58.7,51.1,42.6,50.4,54.1,49.9,57.2
40,Thoydon Rd,536105,183049,Kerbside,Missing,47.7,54.9,46.5,Missing,34.5,46.8,40.3,49.8,53,49.3,54.3
41,Ford Close/Roman Rd,536457,183301,Roadside,55.7,54.7,55.5,35.1,52.9,52.1,51,41.1,55.4,47.2,50.1,48.7
42,Victoria Park,536494,184170,Urban background,33.3,33.3,33.6,27.9,23.7,19.4,22.3,22.4,27,30.7,36.4,39.3
43,Victoria Park,536494,184170,Urban background,33.6,33.6,33.2,28.2,24.2,19.8,23.4,23.1,28.7,26.7,32.6,37.4
44,Parnell Rd/Old Ford Rd,536875,183740,Kerbside,48.5,58.3,56.6,53.1,48.4,38.5,43.3,Missing,52.5,54.7,1.1,51.7
45,St Stephen's Rd/Tredegar Rd,536713,183070,Kerbside,62.3,61.2,39.3,55.3,49.6,41.2,52.5,280.4,51.6,60.2,62.5,63.2
46,Rhondda Grove/Mile End Rd,536542,182589,Kerbside,Missing,54.6,140.2,80.2,43.7,Missing,28.8,Missing,46.9,50.4,Missing,56.1
47,Wentworth Mews,536452,182454,Kerbside,63,67.2,70.9,58.3,73.8,51.8,67.8,60.3,53.9,63.8,65.4,68.4
48,Ackroyd Drive,536768,181772,Kerbside,49.8,43.2,56.3,47.3,46.2,38.8,50.3,48.8,50.8,51.8,54.1,55.1
49,Dod St/Burdett Rd,537049,181292,Kerbside,53.5,51.9,50.8,44.6,35.6,30,37.6,35.3,39.7,43.6,44.4,48
50,Rich Street,536937,180987,Roadside,110.5,57.9,52.6,47.8,49.6,43.8,48.1,45.8,50.9,51.8,51.7,52.5
51,Watney Market,534938,181257,Roadside,47.6,47.5,54.5,43.3,40.7,35.9,40.2,34.4,43,49,38.7,48.2
52,Wick Lane/Autumn St,537304,183619,Kerbside,Missing,57.6,57.9,57.5,49.7,39.7,53.9,47.3,49.1,54.6,58,56.4
53,Fairfield Road/Tredegar Road ,537159,183415,Kerbside,64.5,51.8,54.8,50,46.8,36.1,60.4,55.4,54.7,62.2,64.2,65.4
54,Bow Rd /Glebe Terrace,537525,182887,Kerbside,Missing,60.9,62.8,55,134.1,74.9,88,75.5,79.8,77.7,91.1,74
55,TH Cemetery Park,536732,182361,Roadside,39.8,33.4,28.4,30.2,27.7,21.1,24.9,25,30.9,30.4,33.4,36.6
56,Bow Common Lane/St Paul's Way,537248,181820,Kerbside,58.7,49,53.4,46,43.5,34.6,51.1,46.4,46.9,47.9,51.6,52.8
57,Augusta St/Giraud St,537516,181392,Kerbside,Missing,41.3,44.5,38,31.4,24.4,29.5,29.5,32,37.8,45.8,44.3
58,Dolphin Lane,537539,180688,Kerbside,46.3,45.3,44.5,34.4,31,25.2,35.6,30.8,38.4,37.9,41.9,49.3
59,Westferry Road/Limehouse Link jnct,537100,180791,Kerbside,53.5,54,Missing,47.9,50.4,43,44.8,40,43.7,48.8,55,51.7
60,"Cascades, Westferry Road",537115,180074,Kerbside,59.8,50.7,55.4,Missing,51.2,41,48.5,46.3,51.6,55.3,61,48.2
61,Bow Rd/Alfred St,537056,182773,Kerbside,Missing,48.3,52.4,50.4,26.2,32.9,40.1,43.7,49.9,46.2,56.4,53.2
62,Mast House Terrace,537348,178690,Kerbside,36,42.9,35.4,Missing,Missing,27.2,34.5,36.1,37.7,43.3,40.9,48.5
63,Millwall Park,538246,178689,Urban background,42.5,34.2,Missing,31.6,24.1,21.1,24.3,24.8,23.2,31.2,33.9,34.3
64,Limeharbour,537953,179357,Kerbside,41.1,55.7,57.5,48.2,48.2,40.3,50.2,45.1,46.1,54.6,53.1,53.3
65,Manchester Road/East Ferry Road,538032,178360,Kerbside,35.5,39.8,44.7,36.6,35.1,31,34.2,30.7,34.6,39.8,42.3,41.3
66,Millwall Park,538258,178689,Urban background,43.6,38.2,38.6,28.4,25.9,19.3,Missing,26.9,33.4,30.9,39.8,42.5
67,Seyssel Street,538544,178767,Kerbside,41.9,47.4,46.8,35,35.2,28.3,36.1,33.6,35.8,41,46.8,49.1
68,Manchester Road/Ollife Street ,538431,179044,Kerbside,41.8,47.7,47.4,39.9,41.5,34.4,36.3,32.2,36.6,45,46.7,47.8
69,Lawnhouse Close ,538190,179750,Kerbside,53.4,47.4,60,42.9,40.6,31.1,43.1,39.5,42.3,45.8,47.8,50.2
70,Admirals Way,537424,179910,Kerbside,Missing,41.3,42.9,37.9,31.3,24.5,28.8,24.2,34.4,40,45.8,46.2
71,Toynbee St/Commercial St,533689,181705,Roadside,Missing,69,67.2,63.6,Missing,Missing,75.4,63.1,80.5,78.4,69.5,72.3
72,Prestons Road/ Coldharbour,538364,180188,Kerbside,46.5,50.5,63.5,48.5,56.5,40.1,46.6,Missing,48.7,54.1,44.4,58.2
73,John Smith Mews,538742,180756,Kerbside,36.8,57.2,55.2,32.4,35.7,28.2,38.4,38.9,43.5,48.8,42.6,45.5
74,Poplar High St/Cotton St,538244,180761,Kerbside,Missing,78.7,47.6,79.8,Missing,76.8,101.4,84.1,99.7,81.8,94.3,96.8
75,Hale Street,537661,180768,Kerbside,50,31.8,100.3,40.4,33.2,29.5,34.2,32.6,41.1,43.3,49.8,49.6
76,Chrisp Street/E India Dock Road ,537940,181021,Kerbside,62.7,60.3,74.3,57,48.5,58,56.7,55,54.5,56.9,61.1,63.4
77,Morris/Barchester Street,537731,181761,Kerbside,50.8,56.9,53.8,50.1,37.7,32.5,39.8,38.3,45.8,50.2,55.4,51.6
78,Devons Road / Campbell Road ,537577,182232,Kerbside,61,65.9,54,56.3,58.3,50.7,55.4,50.4,48.9,58.9,58.2,59.7
79,Hatfield Terrace/Fairfield Road,537355,183059,Kerbside,42.4,49.9,47,45.1,42.1,34.9,35,33.7,36,43.4,48.4,46.6
80,Wrexham Road,537581,183209,Kerbside,48.4,61.6,51.7,53.7,54.6,50.5,43.4,41.7,40.9,53.4,49.8,55.7
81,Bromley High Street/ St Leonards,537868,182912,Kerbside,83.9,54.2,Missing,45.1,46.6,40,40.3,39.1,45.7,48.5,58.3,55.3
82,Devas Street /Devons road,537821,182332,Kerbside,68.8,65.7,67.6,59.2,70.1,56.7,54.1,50.5,51.9,59.1,59.2,55
83,Zetland Street/A12,538178,181747,Kerbside,73.8,81.9,85.7,87.8,100.4,91.3,88.4,69.9,69.6,82.6,84.6,73.5
84,Blair Street (End of Street),538365,181180,Roadside,76.5,60.6,68,56.1,41.5,36,60.6,52.3,66.3,48.2,69.2,Missing
85,Portree Street,538895,181296,Kerbside,65.1,57.3,72.8,64.2,51.5,50.4,54.9,45.1,55.1,61.2,67.4,61.9
86,Newport Avenue,538954,180872,Kerbside,41.5,49,37.4,41,37.5,28.8,34.5,33.9,39.2,42.4,38.5,44.1
87,Mile End Road Corner Bancroft Rd,535929,182220,Kerbside,Missing,63,59.8,62.9,63.4,69,64.4,61.5,66.8,77.9,61.9,61
88,Shirbutt St o/s Holy Family School,537555,180892,Kerbside,Missing,43.3,44.3,35.2,34.4,28.5,29.1,30.1,34.6,39,41.2,40.3
89,Thames Path Storers Quay,538730,178733,Roadside,43.6,42.3,45.3,33.7,27.8,25.6,29.3,27.2,31.5,Missing,Missing,41
90,Sextant Avenue,538674,178888,Kerbside,39.7,35.3,42,36.6,28.1,26.4,25.4,24.6,29,28.5,37.6,34.2
