Site no,Location,Grid squaresX,Grid squaresY,Site Type,Jan-22,Feb-22,Mar-22,Apr-22,May-22,Jun-22,Jul-22,Aug-22,Sep-22,Oct-22,Nov-22,Dec-22
28,Bonner Road,535356,183223,Kerbside,61.3,46,42.9,38,42.2,39.6,11.2,46.5,43,45.4,,
29,Grove Rd/Old Ford Rd,535930,183385,Kerbside,48.7,35.6,38.1,29.6,26.8,28.8,27.4,30.6,31.3,39.5,,
30,Fieldgate Street,534239,181565,Kerbside,50.3,37.8,48.6,36.8,27,28.7,missing,33.5,32.4,41.2,,
31,Whitechapel Market,534516,181744,Roadside,65.6,51.7,50.1,51.8,46.3,47.7,45.8,50.1,52.6,51.4,,
32,Globe Rd/Mile End Rd,535634,182148,Kerbside,56.4,40.8,45.9,40.3,33.4,34.2,33.6,38.5,39.8,41.2,,
33,Stepney Green,535545,181604,Urban background,46.2,31.8,37.8,25.5,19.8,19,19.2,19.9,24.3,27.1,,
34,Pitsea St/Commercial Rd,535797,181164,Kerbside,7.7,37.8,38.9,30.4,25.9,25.9,29.7,25.4,31.1,35,,
35,Narrow St/Limehouse Link,535977,180879,Roadside,88.1,71.7,91,86.9,71.7,69.6,87.9,78.5,84.9,68,,
36,Locksley St/St Paul's Way,536704,181647,Kerbside,46.8,28.2,41.1,29.8,22.4,21,24.6,26.4,11.1,missing,,
37,Rhodeswell Rd,536577,181379,Kerbside,50.1,35.9,39.1,25.8,21.8,22.1,23.7,24.4,28.7,34.4,,
38,Ben Johnson Road,536080,181721,Kerbside,55.3,35.9,42.1,32.6,25.7,28.4,31.6,34.8,33.1,33,,
39,Harford St/Mile End Rd,536089,182258,Roadside,43.7,35.2,49.5,39.2,26.7,27,30.7,34.2,33.4,33.1,,
40,Thoydon Rd,536105,183049,Kerbside,50.2,40.1,35.6,28.2,23,19.9,24.9,25.3,27.4,33.4,,
41,Ford Close/Roman Rd,536457,183301,Roadside,51.8,35.4,43.7,38.3,29.8,26.8,32.5,35.7,35.2,41.2,,
42,Victoria Park,536494,184170,Urban background,32.5,22,missing,12.6,14.9,12.7,14.4,17.1,19.2,13.3,,
43,Victoria Park,536494,184170,Urban background,32.1,20.7,missing,12.6,15,14.6,16.9,20.5,17.8,missing,,
44,Parnell Rd/Old Ford Rd,536875,183740,Kerbside,52.4,35.8,42.8,31.3,26.9,missing ,28.8,30.4,34.6,39,,
45,St Stephen's Rd/Tredegar Rd,536713,183070,Kerbside,56.8,39,46,32.6,28.8,30.8,31.1,33.5,36.1,38.7,,
46,Rhondda Grove/Mile End Rd,536542,182589,Kerbside,39.3,32.6,37.5,28.2,missing,22.8,23.9,25,missing,34.6,,
47,Wentworth Mews,536452,182454,Kerbside,55.8,38.6,47.8,38.4,30.1,29,31.4,36.7,42.4,39.8,,
48,Ackroyd Drive,536768,181772,Kerbside,58.5,39.5,39.1,missing,29.1,30.6,33.3,30.3,38.7,42.4,,
49,Dod St/Burdett Rd,537049,181292,Kerbside,40.7,30.2,33.7,23.8,22.5,17,19.7,missing ,21.9,30.1,,
50,Rich Street,536937,180987,Roadside,51.9,34.7,43.1,42.3,30,27.5,missing,32.2,37,33.6,,
51,Watney Market,534938,181257,Roadside,46.7,31.6,31.4,26.6,25.2,23.4,22.4,23.8,29.3,32.5,,
52,Wick Lane/Autumn St,537304,183619,Kerbside,48.4,34.6,44.2,32.8,28.6,29.9,34.9,34.9,40.8,41.2,,
53,Fairfield Road/Tredegar Road ,537159,183415,Kerbside,57.6,40.3,46.7,39.3,missing,34.8,37.7,42.2,39.6,43.1,,
54,Bow Rd /Glebe Terrace,537525,182887,Kerbside,66.5,49,61,49.9,44.6,49.1,51.3,53.8,52.5,62,,
55,TH Cemetery Park,536732,182361,Roadside,36.1,26.8,27.2,17.8,16.1,15.4,16.2,17.4,18.5,21.2,,
56,Bow Common Lane/St Paul's Way,537248,181820,Kerbside,52,missing ,41.7,26.7,27.2,27.7,25.8,28.3,31.7,37.2,,
57,Augusta St/Giraud St,537516,181392,Kerbside,43.6,26.2,40,23.9,20,19.6,20.7,18.4,26.7,28.9,,
58,Dolphin Lane,537539,180688,Kerbside,45.7,30,36.2,26.7,21.1,20.8,23.4,missing ,23.9,31,,
59,Westferry Road/Limehouse Link jnct,537100,180791,Kerbside,49,31.8,45,33.7,27.6,25.8,32.5,missing ,missing,31.3,,
60,"Cascades, Westferry Road",537115,180074,Kerbside,57,41.3,49.4,41,32.6,30.3,35,35.1,38.2,41.6,,
61,Bow Rd/Alfred St,537056,182773,Kerbside,52.8,35.4,35,27.2,25.4,21.7,24.7,25.6,28.4,33.8,,
62,Mast House Terrace,537348,178690,Kerbside,49.8,32.1,47.7,30.9,27.6,24.3,23.2,25.9,30.5,39.8,,
63,Millwall Park,538246,178689,Urban background,42.3,27.5,29.4,21.7,18.6,16.9,15.3,missing ,17.7,missing,,
64,Limeharbour,537953,179357,Kerbside,60.7,41.2,58.6,47.3,39.9,37.2,42.5,38.3,43.2,37.2,,
65,Manchester Road/East Ferry Road,538032,178360,Kerbside,40.5,25.1,42.1,28.5,22.4,missing ,missing,23.3,24.4,missing,,
66,Millwall Park,538258,178689,Urban background,44.8,missing ,31.9,20.2,missing,18.5,missing,missing ,17.4,25.6,,
67,Seyssel Street,538544,178767,Kerbside,47.6,29.4,41.9,31.7,25.8,25,22.8,26,29.3,35.9,,
68,Manchester Road/Ollife Street ,538431,179044,Kerbside,50.1,24.4,47.4,32.7,24.3,23.6,26.2,27.5,30.1,36.9,,
69,Lawnhouse Close ,538190,179750,Kerbside,50.8,32.3,37.3,30.5,26.3,24.7,23.1,25.2,25,34.4,,
70,Admirals Way,537424,179910,Kerbside,41.4,27,39,24.4,missing,25.9,29.2,25.1,23.8,32.3,,
71,Toynbee St/Commercial St,533689,181705,Roadside,63.5,46.8,39.8,36.2,33.6,32.9,31.9,35.8,40.4,44.5,,
72,Prestons Road/ Coldharbour,538364,180188,Kerbside,54.3,36.4,49.4,37.5,30.9,28.3,33.4,31.7,33.7,33.2,,
73,John Smith Mews,538742,180756,Kerbside,44.2,31.7,37.6,31.8,23.5,22,23.5,20.3,27.2,27.6,,
74,Poplar High St/Cotton St,538244,180761,Kerbside,82.4,66.1,88.3,65.9,66.5,75.7,71.5,69.2,78.6,82.4,,
75,Hale Street,537661,180768,Kerbside,44.8,28.2,43.2,25,23.9,24.3,20.7,19.5,23.2,32.2,,
76,Chrisp Street/E India Dock Road ,537940,181021,Kerbside,53,38.1,54.9,39.8,33.1,32.8,35.3,32.5,40.9,missing,,
77,Morris/Barchester Street,537731,181761,Kerbside,42.4,26.8,40.3,24.4,20,20.2,23,20.4,28.7,31.7,,
78,Devons Road / Campbell Road ,537577,182232,Kerbside,58.2,36.2,51.7,39.2,35.2,32.2,34,34.7,44.8,34.2,,
79,Hatfield Terrace/Fairfield Road,537355,183059,Kerbside,40.6,28,45.7,29.9,20.1,21.2,24.2,27.3,27.8,30.6,,
80,Wrexham Road,537581,183209,Kerbside,48.8,31.9,47.2,38,24.9,25.2,29.5,33.9,34.6,32.5,,
81,Bromley High Street/ St Leonards,537868,182912,Kerbside,50.8,35.9,43,34.1,28.8,28.1,30,32,36.3,36.2,,
82,Devas Street /Devons road,537821,182332,Kerbside,46.8,37.7,57.3,43.1,28.5,31.1,34.6,33.1,44.2,36.8,,
83,Zetland Street/A12,538178,181747,Kerbside,57.9,42.5,69.4,54.6,47.3,48.4,58.5,52.5,66,47.7,,
84,Blair Street (End of Street),538365,181180,Roadside,55.6,44.7,44.9,31.1,32.6,37.4,31.9,27.9,37.4,45.8,,
85,Portree Street,538895,181296,Kerbside,52.3,36.5,53.2,36.7,34.7,35.2,missing,31.8,37.7,41.7,,
86,Newport Avenue,538954,180872,Kerbside,40.8,29.9,38.6,28.3,24.5,23.3,24.4,22.6,29.3,30.6,,
87,Mile End Road Corner Bancroft Rd,535929,182220,Kerbside,52.6,37,40.7,38.5,30.2,26.6,8.4,33.1,39.3,34.2,,
88,Shirbutt St o/s Holy Family School,537555,180892,Kerbside,40.5,23.7,37.3,24.8,21.2,19.7,19.3,19.3,23.5,28.6,,
89,Thames Path Storers Quay,538730,178733,Roadside,42.7,28.2,48.3,33.5,21,19.9,20,21.5,20.3,28.6,,
90,Sextant Avenue,538674,178888,Kerbside,41.7,24.4,39.3,23.5,16.4,18,18,21.2,19.7,26.6,,
91,At the entrance of MOT station,539007,181146,Kerbside,missing,missing ,57.4,17.3,28.5,25.1,25.1,23.6,31.8,35.6,,
92,At the exit of MOT station,538907,181127,Roadside,missing,missing ,43.6,19.4,37.3,38.7,34.1,33.1,37.7,42.7,,
93,Millwall Park- North Greenwich Bowls Club (Co-location site),538016,178569,Urban background,N/A,N/A,N/A,N/A,16.9,21,15.1,16.9,17.7,22,,
94,Millwall Park- North Greenwich Bowls Club(Co-location site),538016,178569,Urban background,N/A,N/A,N/A,N/A,16,18.3,13.5,16.7,16.1,21.8,,
