Site no,Location,Grid squaresX,Grid squaresY,Site Type,Jan-22,Feb-22,Mar-22,Apr-22,May-22,Jun-22,Jul-22,Aug-22,Sep-22,Oct-22,Nov-22,Dec-22
1,Colombia Rd/Gossett Street,533883,182815,Kerbside,42.6,31.4,32.9,18.6,19.7,17.3,17.4,missing ,20.4,27.4,,
2,Calvert Ave/Boundary Street,533507,182569,Kerbside,45.8,33.5,30.4,24.4,missing,21.4,19.7,19.4,22.2,32.6,,
3,Bethnal Green Rd/ Brick Lane,533860,182442,Kerbside,48.9,40,35,missing,36.6,27.7,26.4,23.6,missing,missing,,
4,Commercial St/Calvin St,533611,182037,Kerbside,53.2,43.7,47.6,39.4,missing,33.6,35.5,33.5,missing,31.7,,
5,Whitechapel High St (KFC),533985,181426,Kerbside,66.7,57.2,49.8,46.6,46,41.9,42.1,36.6,45.9,53.8,,
6,Mansell St,533800,181021,Kerbside,53,44.6,45.9,38.8,36.9,35.6,33.5,32.9,39.3,49.5,,
7,St Katherine's Way,533992,180376,Roadside,46.5,29.8,missing,22.5,missing,missing ,missing,missing ,23.2,missing,,
8,Wapping High St/Sampson St,534444,180122,Kerbside,46.4,29.3,33.9,25.1,19.4,20.5,19.9,20.5,25.7,29.4,,
9,Cartwright Street,533955,180805,Kerbside,47.4,33.5,34.2,27.5,25.3,22.5,20.2,missing ,6.6,missing,,
10,Whitechapel Rd/Adler St,534133,181509,Kerbside,50.7,37,41.6,34.7,28.5,missing ,56,missing ,33.5,38.4,,
11,Brick Lane/Princelet St,533866,181860,Kerbside,47.3,31.2,37,26.5,22,21.5,missing,21.9,missing,32.5,,
12,Buckfast St/Bethnal Green Rd,534259,182580,Kerbside,38.5,32.3,34.4,28.9,25.4,21.5,27,24.3,26.8,30.5,,
13,Squirries St/Gosset St,534313,182810,Kerbside,48.1,31.1,38.4,29,25.8,24.7,23.5,missing ,24.9,33.4,,
14,Warner Place/Hackney Rd,534255,183130,Kerbside,46.6,34.2,38.9,29.1,26.2,24.7,24.4,missing ,39.2,39.6,,
15,Parmiter St/ Cambridge Heath Road,534881,183240,Kerbside,60.6,38.2,38.8,34.8,28,25.2,28.7,31.3,missing,36.2,,
16,Paradise Row/Bethnal Green Rd,534959,182757,Kerbside,50.4,38.9,41.8,32.2,28.8,27.2,missing,29.7,missing,38.4,,
17,Finnis St/Three Colts Lane,534783,182385,Kerbside,44.2,27.2,missing,24.9,22,18.8,19.1,20.1,23.9,27.8,,
18,Sidney St/Mile End Rd,534968,181878,Roadside,54.8,38.5,38.9,32.9,28.9,30.2,29.6,27.3,34.8,39.2,,
19,Philpot St/Commercial Road,534816,181321,Kerbside,62.2,45,48.6,33,32.1,29.7,30.7,30.5,33.4,42.6,,
20,Dellow St/The Highway,534951,180779,Roadside,64.9,58.9,59.9,43,45.8,44.3,45.1,43.6,42.3,53,,
21,Queensbridge Rd/Hackney Rd,533985,183122,Kerbside,48.4,35.6,34.8,28,26.9,25.3,25.3,27.3,27.8,35.4,,
22,Wapping Wall/Garnet St,535133,180376,Kerbside,51.8,29.8,43.1,31.3,24.4,21.8,22.9,25.1,29.8,30.1,,
23,Brodlove Lane,535598,180816,Kerbside,51.6,39.9,42,missing,35,34.7,34.3,31.5,35,42.1,,
24,Jubilee Street/Commercial Rd,535174,181290,Kerbside,62.3,46.5,52.8,44,36.3,37.8,43.1,44.7,50.4,43.5,,
25,Cavell St/Stepney Way,534884,181667,Kerbside,52.2,38.7,38.3,30.4,26.8,missing ,missing,missing ,33.5,44.5,,
26,Hannibal Rd/Mile End Rd,535386,182021,Kerbside,52.8,38.8,34.4,30.1,29.6,29.3,29.4,27.3,32.5,34.9,,
27,Roman Rd/Globe Road,535296,182793,Kerbside,50.5,32.1,42,31.9,26.2,20.2,20.1,26.8,29.6,missing,,
