Site no,Location,Grid squaresX,Grid squaresY,Site Type,Jan-20,Feb-20,Mar-20,Apr-20,May-20,Jun-20,Jul-20,Aug-20,Sep-20,Oct-20,Nov-20,Dec-20
1,Colombia Rd/Gossett Street,533883,182815,Kerbside,46.2,41.6,Lockdown,Lockdown,Lockdown,Lockdown,Lockdown,26.3,30.6,35.9,41.8,38.3
2,Calvert Ave/Boundary Street,533507,182569,Kerbside,50.3,44.2,Lockdown,Lockdown,Lockdown,Lockdown,Lockdown,29.2,31.8,missing,38.7,38.3
3,Bethnal Green Rd/ Brick Lane,533860,182442,Kerbside,48,47.2,Lockdown,Lockdown,Lockdown,Lockdown,Lockdown,31.8,33.3,38.8,41.6,39
4,Commercial St/Calvin St,533611,182037,Kerbside,57.8,47.7,Lockdown,Lockdown,Lockdown,Lockdown,Lockdown,45.2,47.1,45.5,50.5,54.9
5,Whitechapel High St (KFC),533985,181426,Kerbside,63.3,56.2,Lockdown,Lockdown,Lockdown,Lockdown,Lockdown,missing ,49,50.6,48.5,39.3
6,Mansell St,533800,181021,Kerbside,66.5,61.8,Lockdown,Lockdown,Lockdown,Lockdown,Lockdown,47.5,46.1,44.8,45.9,46.4
7,St Katherine's Way,533992,180376,Roadside,37.8,31.7,Lockdown,Lockdown,Lockdown,Lockdown,Lockdown,20.2,23.2,29.6,35.2,25.6
8,Wapping High St/Sampson St,534444,180122,Kerbside,34.2,31.7,Lockdown,Lockdown,Lockdown,Lockdown,Lockdown,22.5,25.6,30.6,37.2,38.1
9,Cartwright Street,533955,180805,Kerbside,44.3,40.4,Lockdown,Lockdown,Lockdown,Lockdown,Lockdown,25.8,27.9,33.5,42.6,37.7
10,Whitechapel Rd/Adler St,534133,181509,Kerbside,48,42.8,Lockdown,Lockdown,Lockdown,Lockdown,Lockdown,36.9,38.9,41.8,44,41.9
11,Brick Lane/Princelet St,533866,181860,Kerbside,41.9,37.8,Lockdown,Lockdown,Lockdown,Lockdown,Lockdown,30,missing,31.3,38.1,37.2
12,Buckfast St/Bethnal Green Rd,534259,182580,Kerbside,44.2,40.6,Lockdown,Lockdown,Lockdown,Lockdown,Lockdown,28.7,31.1,28.3,36.8,37.5
13,Squirries St/Gosset St,534313,182810,Kerbside,45.5,38.3,Lockdown,Lockdown,Lockdown,Lockdown,Lockdown,33.8,38.1,35.2,41.9,43.7
14,Warner Place/Hackney Rd,534255,183130,Kerbside,55,44,Lockdown,Lockdown,Lockdown,Lockdown,Lockdown,27.1,29.9,32.8,37.3,34
15,Parmiter St/ Cambridge Heath Road,534881,183240,Kerbside,55.9,45.7,Lockdown,Lockdown,Lockdown,Lockdown,Lockdown,36.1,39.6,41.3,44.8,45.5
16,Paradise Row/Bethnal Green Rd,534959,182757,Kerbside,52.7,48.3,Lockdown,Lockdown,Lockdown,Lockdown,Lockdown,33.3,32.6,38.4,37.7,43.4
17,Finnis St/Three Colts Lane,534783,182385,Kerbside,34,30,Lockdown,Lockdown,Lockdown,Lockdown,Lockdown,24.1,28.2,31.4,31.5,37.3
