Site no,Location,Grid squaresX,Grid squaresY,Site Type,Jan-17,Feb-17,Mar-17,Apr-17,May-17,Jun-17,Jul-17,Aug-17,Sep-17,Oct-17,Nov-17,Dec-17
1,Colombia Rd/Gossett Street,533883,182815,Roadside,76.5,64.2,50.9,19.1,44.4,47,38.9,43.7,45.9,53.6,60,61.7
2,Calvert Ave/Boundary Street,533507,182569,Roadside,70.6,53.6,58.8,43.2,47.6,46.6,38.5,49.8,49.9,55.5,56.6,Missing
3,Bethnal Grn Rd/ Brick Lane,533860,182442,Roadside,77.5,59,59.7,41.6,Missing,46.6,44.2,50.2,55.4,62.7,82,62
4,Commercial St/Calvin St,533583,182066,Roadside,99,77.1,84.7,80.2,79.1,98.9,59.5,Missing,77.7,50.1,Missing,Missing
5,Whitechapel High St (KFC),533985,181426,Roadside,98.9,95.2,79.2,95.1,49.7,89.3,73.8,78.5,71.2,84.4,85.4,70.5
6,Mansell St,533801,180726,Roadside,130.4,96.3,106.1,86.4,Missing,110.1,86.4,96,92,97.2,Missing,70.1
7,St Katherine's Way,533984,180373,Background,57.6,44,34.9,33.6,33.1,35.9,26.6,33.7,36.5,42,46.7,44.8
8,Wapping High St/Sampson St,534444,180122,Roadside,69,46.7,40.6,35.1,37.9,35.5,33.3,39.6,40.8,40.8,51.7,50.9
11,Brick Lane/Princelet St,533866,181860,Roadside,72.7,58.8,44.4,41.9,41.7,37.9,35.3,47.5,48.6,76.3,60.7,55.7
12,Buckfast St/Bethnal Green Rd,534259,182580,Roadside,64.6,58.7,47.6,40,45,46.7,38.2,41,45.6,49.9,63.4,60.5
14,Warner Place/Hackney Rd,534255,183130,Roadside,69,58.8,52.9,42.2,44.8,52.1,39.2,46.7,52.9,57.7,60.1,58.1
16,Paradise Row/Bethnal Green Rd,534959,182757,Roadside,73.5,68.1,60.3,45.9,54.7,48.5,41.1,41.8,46.7,52.1,61.4,55.9
17,Finnis St/Three Colts Lane,534783,182385,Roadside,68.1,50.7,46,34.8,35.7,40.8,31.5,38,40.4,47,54.8,51.6
18,Sidney St/Mile End Rd,534968,181878,Roadside,80.9,70.9,Missing,53.9,51.6,56.2,48.5,57,53,62.5,Missing,Missing
19,Philpot St/Commercial Road,534816,181321,Roadside,80.5,75.5,68.1,52.9,57.5,68.1,51.1,62.3,59.8,66,75.1,73.3
20,Dellow St/The Highway,534951,180779,Roadside,85.8,89.2,83.3,54.9,76.1,88.4,63.9,72.2,66,79.8,71,81.7
22,Wapping Wall/Garnet St,535132,180337,Roadside,66.6,46.8,41.2,41.4,38.9,40.8,32.9,35.6,40,50.2,46.8,53.8
23,Brodlove Lane,535598,180816,Roadside,72.8,63.9,47.8,42.9,60.6,57.4,52.1,60.6,61.5,67.3,63.7,63.7
24,Jubilee Street/Commercial Rd,535150,181279,Roadside,98.9,90.1,75.8,83.6,75.7,85.1,63.9,75.9,75,77,Missing,Missing
25,Cavell St/Stepney Way,534884,181667,Roadside,78.4,63.9,53,44.3,81.5,52.8,41.3,53.7,46,50.6,73.3,69.8
26,Hannibal Rd/Mile End Rd,535392,182010,Roadside,83.1,69.3,69.1,55.1,58.8,58.9,53.1,64.2,58.8,61.9,73.3,69.2
28,Bonner Road,535356,183223,Roadside,62.9,53,51.7,48.4,Missing,50.8,42.4,46.7,47.4,44.7,59.6,58.8
29,Grove Rd/Old Ford Rd,535930,183385,Roadside,78.3,60.4,63.5,48.8,54.7,52.9,Missing,55,57.3,59.1,66.1,56.9
30,Fieldgate Street,534232,181584,Roadside,80.8,59.2,54.4,49.2,54,60.3,40.8,50.2,51.1,55.4,41.5,60.5
31,Whitechapel Market,534516,181744,Roadside,111.1,101.1,92.5,80.1,81,91.5,77.5,83.8,80.5,91.9,94.2,85.3
32,Globe Rd/Mile End Rd,535295,182820,Roadside,84.4,66.1,73.5,61.1,60.9,72.3,52,Missing,63.4,64.4,76.4,64.9
33,Stepney Green,535545,181604,Background,70.9,44.6,Missing,31.6,31.5,36.5,27.9,37.3,Missing,43.5,Missing,108.8
