Site no,Location,Grid squaresX,Grid squaresY,Site Type,Jan-17,Feb-17,Mar-17,Apr-17,May-17,Jun-17,Jul-17,Aug-17,Sep-17,Oct-17,Nov-17,Dec-17
36,Locksley St/St Paul's Way,536702,181646,Roadside,74.2,50.6,48.8,38.8,41.4,33.8,33.4,38.6,41.1,41.2,60.9,55.7
37,Rhodeswell Rd,536574,181338,Roadside,69.8,53.7,49,35.7,Missing,47,36.1,38.9,41.4,40.3,51.7,50.6
38,Ben Johnson Road,536080,181721,Roadside,87.7,67.5,Missing,Missing,46.1,48.6,42.8,48.8,47.2,50.3,68.4,62.9
39,Harford St/Mile End Rd,536089,182258,Roadside,87.9,44.4,61.8,41.9,52.8,63.6,43.3,41.7,47.3,54.5,53.4,49.4
41,Ford Close/Roman Rd,536457,183301,Roadside,65.9,51.2,57.1,Missing,Missing,53,36.9,43.4,46.9,52.4,56.3,55.8
42,Victoria Park,536494,184170,Background,56.7,36.8,29,21.2,25.9,26.3,19.9,27.4,24.5,31.8,37.8,37
43,Victoria Park,536494,184170,Background,50.6,38.6,32.4,20.4,25.3,23.1,19.9,27.8,27.5,25.7,38.3,35.2
44,Parnell Rd/Old Ford Rd,536874,183741,Roadside,80.1,54.2,60.7,44,43.9,48.5,41.8,50.4,51.4,54.1,67,Missing
45,St Stephen's Rd/Tredegar Rd,536713,183070,Roadside,75.7,60.3,68.3,Missing,54.1,54.1,45.5,50.8,47.6,56.6,64.8,61.2
46,Rhondda Grove/Mile End Rd,536542,182589,Roadside,79.2,52,3.6,34.7,45.2,45.7,Missing,47.7,47,51.7,63.4,53.6
47,Wentworth Mews,536452,182454,Roadside,76.4,65.9,71.4,52.2,54.9,58.9,46.2,57.6,50.9,51.6,67.7,61.9
48,Ackroyd Drive,536767,181771,Roadside,82.5,62.7,53.5,43.5,48.8,Missing,51,55.7,54.1,53.9,67.3,62.2
49,Dod St/Burdett Rd,537026,181227,Roadside,78.4,61.3,55.5,32.9,40.2,38,35,40.6,45.7,43,58.4,58.5
50,Rich Street,536937,180987,Roadside,76.8,57.5,54.3,41.2,42.9,56.4,44.6,53,50.5,53.4,65.1,Missing
51,Watney Market,534938,181257,Background,Missing,46.5,51.5,43,38.8,45.6,32.3,35.5,43.6,60.5,Missing,Missing
52,Wick Lane/Autumn St,537304,183619,Roadside,74.5,58.6,58,44.4,53,52.1,43.9,51.7,53.8,52.6,60,57.9
53,Fairfield Road/Tredegar Road ,537159,183415,Roadside,89.3,67.3,77.7,60,61.2,71.6,54.5,61.9,52.5,61,Missing,50.5
54,Bow Rd /Glebe Terrace,537525,182887,Roadside,88.7,80.7,70,64,75,81.3,66.7,77.1,71.2,68.2,Missing,Missing
55,TH Cemetery Park,536730,182363,Background,46.8,26.5,38.8,22.2,28,30.5,23.5,30.6,28.3,34.2,45.8,36
56,Bow Common Lane/St Paul's Way,537248,181820,Roadside,75,58.3,56.7,36.3,47.4,41.5,41.2,Missing,46.1,54.7,60.8,51.3
58,Dolphin Lane,537539,180688,Roadside,65.5,49.5,48.3,32.1,38.6,32.3,33.1,41.4,41.8,23.7,45.6,52.3
59,Westferry Road/Limehouse Link jnct,537100,180791,Roadside,80.7,54.2,62,42.2,50.7,42.3,41.9,44.9,46.7,23.6,63,64.6
60,"Cascades, Westferry Road",537115,180074,Roadside,76.4,59.9,64.1,43.4,48.1,49.1,47.4,62.1,60.2,31.9,37.2,62.2
61,Bow Rd/Alfred St,537056,182773,Roadside,81.3,64.7,58,41.5,44.1,50.9,41.4,49.7,49.2,53.9,Missing,47.1
62,Mast House Terrace,537348,178690,Roadside,69.9,48.5,48.4,31.5,35.3,39.7,30.3,39.5,39.7,41.6,60.6,50.9
63,Millwall Park,538259,178688,Background,59,40.5,35.6,23.5,27.1,27.2,24,30.2,33.4,27,50.1,Missing
64,Limeharbour,537953,179357,Roadside,77.2,54.5,56.9,45,42.6,53.2,39.5,52.1,49.2,Missing,51.6,55.6
65,Manchester Road/East Ferry Road,538033,178360,Roadside,81.2,47.7,46.7,29.4,32.4,35.6,28.7,36,31.7,37.4,48.1,39.5
66,Millwall Park,538247,178689,Background,50.1,47,42.2,Missing,27.6,28.5,Missing,28.4,33.1,37.7,Missing,40.6
67,Seyssel Street,538545,178767,Roadside,69.1,46.7,48.8,35.3,38.5,36.9,31.6,35.8,41.5,38.7,55.4,49
68,Manchester Road/Ollife Street ,538432,179044,Roadside,76.8,46.3,51.9,12.9,38.3,45.2,31.1,36.8,40.5,39.1,50.8,46.4
69,Lawnhouse Close ,538191,179750,Roadside,81.2,67.8,55.2,40.8,45.2,50.4,37.8,43.4,47.7,51,67.8,54.7
72,Prestons Road/ Coldharbour,538364,180188,Roadside,74.6,57.4,51.2,47.5,49.9,50.3,42.6,45.9,48.7,55.5,48.4,52.3
73,John Smith Mews,538742,180756,Roadside,76.2,51.2,55.7,39.4,42.2,Missing,31,43.3,42.6,74.4,55.8,58.4
75,Hale Street,537661,180768,Roadside,74.1,Missing,46.1,33.5,Missing,30.4,32.6,41.8,34.4,44.6,54.2,55.4
76,Chrisp Street/E India Dock Road ,537940,181021,Roadside,83.8,65.3,69.1,57.2,67.7,54,56.7,62.3,59.6,Missing,67.2,62.6
77,Morris/Barchester Street,537731,181761,Roadside,81.2,56,52.6,37.6,45.8,40.8,37,44.1,45,58.5,69.2,48.2
78,Devons Road / Campbell Road ,537577,182232,Roadside,85.9,69.7,68.7,52.5,59.2,52.6,53.4,59.2,57.5,36,69.4,65.9
79,Hatfield Terrace/Fairfield Road,537356,183059,Roadside,69.9,50.7,47.6,32.2,35.3,37,27.1,35.5,37,59.3,43.6,43.6
80,Wrexham Road,537581,183208,Roadside,77.2,61.2,60.6,51,45.8,53.1,27.5,45.5,46.5,51.3,57.5,52.5
81,Bromley High Street/ St leonards,537868,182912,Roadside,78.6,59.8,58,41.7,42.8,48,37.3,45.2,42.8,47.7,48,45.5
82,Devas Street /Devons road,537821,182332,Roadside,92.7,Missing,66.9,56.4,58.4,56.8,47.6,58.5,56.8,44.9,76.3,67
83,Zetland Street/A12,538178,181747,Roadside,123.3,79.6,86.9,72.5,82.5,93.7,69.5,79.8,79.4,50.7,76.9,69.4
84,Blair Street (End of Street),538366,181180,Roadside,85.2,85.6,77.8,51.3,59.1,60.8,50.9,63.8,65.6,76.2,78,62.1
85,Portree Street,538895,181296,Roadside,84.2,75.2,72.2,49.6,54.5,60.5,53.3,53.9,50.7,59.1,73.6,61
86,Newport Avenue,538955,180872,Roadside,64.3,51,46.4,31.8,37.9,42.4,31,38.2,39,40.5,55.5,42.1
89,Thames Path Storers Quay,538730,178733,Background,69.3,41.6,39.6,25.3,29.4,36.3,24.8,32.2,34.1,34.9,41.5,44.4
90,Sextant Avenue,538674,178887,Roadside,58.6,37.1,34.7,24.6,23.9,26,20,30.9,28.9,35.3,Missing,81.4
